new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
10,0,4,5,0,0,1,0,0,0,0,0
811,811,2,2,2,3,1,18,799,0,7,0
837,837,3,3,1,2,1,29,1622,0,18,0
992,994,1,2,2,2,1,47,2600,0,36,0
885,887,1,1,1,2,1,78,3455,0,67,0
938,940,0,1,1,1,1,97,4374,0,86,0
1075,1071,1,2,2,2,1,119,5426,0,108,0
1125,1115,4,4,4,5,1,138,6527,0,127,0
907,915,2,2,2,3,1,160,7416,0,149,0
1067,1070,1,1,2,2,1,176,8469,0,165,0
994,991,2,2,2,3,1,204,9433,0,193,0
952,958,0,1,1,1,1,235,10357,0,224,0
998,996,1,1,1,2,1,253,11336,0,242,0
982,978,3,2,2,2,1,274,12294,0,263,0
1022,1016,3,4,4,4,1,298,13290,0,287,0
1040,1035,5,4,4,6,1,316,14309,0,305,0
949,958,3,2,2,2,1,346,15232,0,335,0
960,962,1,2,2,2,1,376,16165,0,365,0
1160,1164,0,1,1,1,1,401,17302,0,390,0
971,965,2,2,3,2,1,414,18257,0,403,0
1201,1201,2,2,2,3,1,427,19445,0,416,0
918,909,5,4,4,5,1,451,20333,0,440,0
889,898,8,1,0,0,1,471,21202,0,460,0
882,884,1,2,2,2,1,507,22055,0,496,0
976,968,3,4,4,4,1,529,23005,0,518,0
941,957,0,0,0,0,1,553,23929,0,542,0
1018,1008,2,2,2,3,1,566,24930,0,555,0
935,937,1,2,2,2,1,587,25845,0,576,0
1045,1043,3,3,1,2,1,605,26868,0,594,0
905,905,2,2,2,3,1,642,27739,0,631,0
1079,1089,0,0,0,0,1,662,28802,0,651,0
1098,1096,0,0,0,1,1,680,29882,0,669,0
1014,1016,0,0,0,0,1,691,30885,0,680,0
1041,1031,2,2,2,3,1,717,31896,0,706,0
1102,1102,2,2,2,3,1,741,32974,0,730,0
833,833,3,2,2,2,1,769,33777,0,758,0
1042,1044,1,2,2,2,1,793,34798,0,782,0
1192,1182,4,4,4,5,1,814,35964,0,803,0
1250,1268,0,0,0,0,1,828,37208,0,817,0
608,599,2,2,2,2,1,837,37803,0,826,0
1072,1075,1,1,1,2,1,860,38854,0,849,0
1027,1017,3,4,4,4,1,889,39847,0,878,0
1061,1077,0,0,0,0,1,913,40891,0,902,0
1106,1106,0,0,0,0,1,932,41978,0,921,0
1082,1065,4,4,4,4,1,949,43035,0,938,0
1036,1053,0,0,0,0,1,968,44060,0,957,0
1017,1008,6,1,1,1,1,995,45043,0,984,0
1010,1012,1,2,2,2,1,1022,46031,0,1011,0
902,910,0,0,0,0,1,1047,46911,0,1036,0
1039,1024,3,4,4,3,1,1064,47926,0,1053,0
1038,1043,9,0,0,0,1,1084,48941,0,1073,0
990,990,2,3,3,1,1,1101,49919,0,1090,0
900,900,9,0,0,0,1,1125,50790,0,1114,0
869,879,0,0,0,0,1,1149,51645,0,1138,0
937,937,0,0,0,0,1,1181,52550,0,1170,0
1209,1202,1,1,2,2,1,1193,53745,0,1182,0
1035,1036,1,1,1,2,1,1216,54757,0,1205,0
1059,1052,3,4,4,2,1,1231,55797,0,1220,0
247,253,1,2,2,2,1,1236,56042,0,1225,0
0,0,1,2,2,2,1,1236,56042,0,1225,0
0,0,1,2,2,2,1,1236,56042,0,1225,0
0,0,1,2,2,2,1,1236,56042,0,1225,0
0,0,1,2,2,2,1,1236,56042,0,1225,0
0,0,1,2,2,2,1,1236,56042,0,1225,0
0,8,0,0,0,0,1,1237,56045,0,1226,0
0,0,0,0,0,0,1,1237,56045,0,1226,0
