Total,Process,Execute,WaitList,Reply
366,0,0,328,19
367,0,0,328,7
367,1,0,328,3
368,1,0,328,2
371,2,0,328,3
372,1,0,328,3
372,0,0,328,5
374,2,328,0,3
374,0,0,328,-1449784002695
374,0,0,328,7
13,0,0,6,1
14,0,0,7,1
12,0,0,6,1
10,0,1,3,2
11,0,0,2,3
17,0,0,6,3
18,0,9,0,3
10,1,0,3,1
12,0,0,5,1
10,1,0,1,1
14,1,0,5,1
15,0,0,5,1
13,0,0,3,1
16,0,0,5,2
16,0,0,5,1
14,0,0,1,1
19,0,6,0,1
20,0,0,8,2
21,0,0,9,2
22,0,0,9,2
22,0,0,9,1
24,1,0,8,3
24,0,0,8,2
25,1,0,8,3
27,0,0,9,3
26,0,0,8,3
28,0,9,0,3
9,0,0,4,2
11,0,7,0,2
19,0,0,9,2
19,0,0,9,1
19,0,0,8,2
20,0,0,9,2
20,0,0,8,1
19,0,0,6,1
22,0,0,9,2
23,0,0,9,2
23,0,0,9,2
25,0,9,0,2
15,0,0,7,2
13,0,0,6,2
14,0,0,7,2
18,1,8,0,2
18,1,0,7,2
14,0,0,7,2
14,0,0,7,3
14,0,0,7,2
15,0,8,0,2
3,0,0,0,1
17,0,0,5,1
4,0,0,0,2
4,0,0,0,2
13,0,0,4,1
15,0,0,5,2
16,0,0,5,1
15,1,0,4,1
16,0,0,4,2
15,0,0,4,1
18,1,0,5,1
18,0,0,4,1
17,0,0,4,1
20,0,6,0,2
9,2,0,5,0
8,0,0,5,0
8,0,0,5,1
10,1,0,6,0
7,0,0,3,1
7,0,0,3,0
9,0,0,5,1
8,0,0,3,0
10,0,0,5,0
9,0,0,3,1
13,0,6,0,1
11,0,0,8,0
12,0,0,8,1
12,0,0,8,0
12,0,0,8,1
13,0,0,8,1
13,0,0,8,0
13,0,0,8,1
14,0,0,8,1
14,0,0,8,1
15,0,8,0,2
15,0,0,8,2
16,0,0,5,2
16,0,0,5,2
17,0,0,5,2
19,0,0,7,2
18,0,0,5,2
19,0,0,5,2
20,0,0,7,2
20,0,0,5,2
23,0,7,0,2
11,1,0,4,1
14,1,0,6,1
12,0,0,5,1
10,0,0,3,0
13,0,0,5,1
15,1,0,5,2
14,0,0,5,1
15,0,0,6,1
14,0,0,4,1
13,0,0,3,2
32,14,6,0,1
19,0,0,7,2
21,0,0,7,2
20,0,0,6,2
26,0,0,8,1
23,0,0,8,3
24,0,0,8,1
25,0,0,8,1
27,1,0,8,1
24,0,0,6,1
26,0,0,7,1
27,0,8,0,1
12,0,0,6,1
22,0,0,6,1
21,0,0,6,1
21,0,0,6,1
22,0,0,6,1
23,0,0,6,1
24,0,0,6,9
23,0,0,6,2
24,0,0,6,2
25,0,0,6,1
27,0,6,0,3
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
7,0,0,3,1
2,0,0,0,1
3,0,0,0,1
15,0,5,0,1
3,0,0,0,1
3,1,0,0,1
