new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
326,326,0,0,0,0,5,27,80,219,23,0
1100,1078,0,0,0,0,5,88,457,859,84,20
1053,1065,0,0,9,0,5,146,1027,1306,138,0
1284,1288,0,0,2,1,5,205,1631,1925,197,0
1431,1434,0,0,1,1,5,263,2210,2721,252,0
1234,1222,0,0,0,0,5,325,2725,3367,312,9
1137,1141,0,0,0,0,5,390,3259,3906,376,9
1384,1384,0,0,0,0,5,453,4103,4383,439,9
1094,1104,0,0,0,0,5,503,4675,4865,489,0
1469,1459,0,0,5,4,5,566,5450,5496,552,0
1137,1147,0,0,0,0,5,630,5997,6022,615,0
1420,1399,0,0,0,0,5,691,6618,6739,676,20
985,996,0,0,0,0,5,750,7014,7280,734,9
1025,1025,0,0,8,1,5,812,7438,7829,796,0
1261,1261,0,0,8,1,5,874,7994,8472,857,0
1356,1356,0,0,0,0,5,929,8844,8913,912,9
1369,1369,0,0,0,0,5,982,9460,9613,965,9
1486,1488,1,1,2,2,5,1040,10420,10089,1022,0
1138,1145,0,0,0,0,5,1088,11028,10572,1070,0
1455,1446,0,0,0,0,5,1145,11936,11053,1127,9
1160,1160,0,0,0,0,5,1202,12492,11600,1184,9
1286,1284,0,0,0,0,5,1259,13087,12232,1241,11
1331,1333,0,0,0,0,5,1319,13831,12761,1301,9
1229,1229,0,0,4,5,5,1373,14488,13289,1355,0
986,986,0,0,6,3,5,1433,14925,13778,1412,0
1300,1300,0,0,0,0,5,1490,15587,14349,1469,9
1168,1168,0,0,9,0,5,1552,16186,14866,1531,0
1383,1390,0,0,0,0,5,1609,17046,15329,1588,0
1087,1081,0,0,7,0,5,1667,17641,15765,1644,0
1258,1266,0,0,0,0,5,1722,18352,16257,1698,0
1110,1106,0,1,1,1,5,1785,18876,16780,1761,0
1240,1235,0,0,7,2,5,1841,19582,17259,1817,0
1249,1249,0,0,0,0,5,1900,20175,17846,1876,9
1426,1426,0,0,5,4,5,1960,21084,18313,1935,0
1491,1491,0,0,9,0,5,2017,22033,18798,1992,0
1052,1061,0,0,0,0,5,2068,22558,19274,2042,0
1307,1300,0,0,0,0,5,2127,23218,19855,2101,5
1447,1444,0,0,7,2,5,2188,24124,20342,2161,0
1305,1315,0,0,0,0,5,2249,24854,20856,2222,0
942,924,0,0,0,0,5,2279,25413,21191,2250,17
1236,1246,0,0,3,4,5,2339,26031,21767,2309,0
1667,1665,0,0,0,0,5,2396,27145,22253,2366,9
1294,1294,0,0,9,0,5,2459,27872,22767,2428,0
1282,1283,0,0,8,0,5,2519,28534,23327,2487,0
1107,1106,0,0,0,0,5,2578,28954,23945,2545,9
1167,1172,0,0,0,0,5,2636,29579,24434,2603,4
1281,1276,0,0,4,5,5,2697,30195,25043,2662,0
1292,1295,0,0,1,1,5,2755,30940,25532,2720,0
1226,1231,0,0,0,0,5,2806,31683,25962,2770,0
1184,1182,0,0,1,2,5,2866,32289,26482,2829,0
1197,1191,0,0,0,0,5,2923,32891,27010,2886,9
1246,1246,0,0,9,0,5,2984,33565,27531,2947,0
1277,1277,0,0,0,0,5,3037,34303,28007,2999,9
1185,1179,0,0,13,2,5,3098,34867,28577,3060,0
1364,1376,0,0,0,0,5,3157,35685,29063,3118,0
1142,1140,2,0,2,1,5,3219,36154,29673,3180,0
1192,1188,0,0,7,2,5,3270,36814,30156,3231,0
1164,1158,0,0,14,1,5,3331,37387,30686,3292,0
1308,1317,0,2,2,0,5,3388,38132,31190,3349,0
1281,1278,0,0,6,3,5,3446,38877,31670,3407,0
1238,1248,0,0,0,0,5,3500,39532,32199,3461,0
1204,1194,0,0,9,0,5,3561,40203,32671,3522,0
1371,1371,0,0,9,0,5,3616,41005,33185,3577,0
1353,1353,0,0,8,1,5,3677,41777,33705,3638,0
811,819,0,0,0,0,5,3714,42263,33991,3674,0
0,0,0,0,0,0,5,3714,42263,33991,3674,0
0,0,0,0,0,0,5,3714,42263,33991,3674,0
0,0,0,0,0,0,5,3714,42263,33991,3674,0
0,2,0,0,0,0,5,3715,42263,33992,3675,0
0,0,0,0,0,0,5,3715,42263,33992,3675,0
