new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
160,149,4,1,1,2,3,9,85,61,0,0
1395,1396,0,0,0,0,3,26,1306,213,14,9
1677,1687,0,0,0,0,3,36,2834,362,24,0
1873,1863,0,0,0,0,3,51,4530,514,39,9
1692,1692,0,0,0,0,3,74,6022,691,62,9
1593,1597,0,1,1,1,3,96,7339,954,84,0
1816,1822,0,0,0,0,3,123,8902,1181,110,0
1589,1590,0,0,0,0,3,153,10208,1435,140,0
1474,1464,0,0,9,0,3,182,11402,1686,169,0
1630,1633,1,1,1,1,3,207,12705,1986,193,0
1738,1735,0,0,7,2,3,218,14344,2076,204,0
1907,1896,5,4,4,5,3,249,15893,2394,235,0
2262,2281,0,0,0,0,3,261,18050,2494,247,0
1349,1346,0,0,1,1,3,283,19149,2724,269,0
1881,1883,0,0,0,0,3,301,20865,2870,286,0
1424,1418,1,1,1,2,3,335,21979,3146,320,0
1928,1914,0,0,0,0,3,346,23788,3236,331,19
1600,1619,0,0,0,0,3,377,25103,3509,362,0
1771,1762,0,0,8,1,3,395,26696,3670,380,0
1521,1529,0,0,0,0,3,427,27853,4002,412,0
1592,1584,0,0,4,5,3,445,29286,4143,430,0
1532,1532,0,0,0,0,3,476,30549,4371,460,9
1947,1947,0,0,0,0,3,485,32406,4452,469,8
1852,1844,0,0,13,4,3,515,33860,4830,499,0
2253,2261,0,0,9,0,3,531,35944,4983,514,0
1787,1793,0,0,0,1,3,560,37441,5241,543,0
1643,1640,1,1,1,1,3,580,38888,5418,563,0
1962,1959,0,0,8,1,3,606,40598,5646,589,0
1793,1791,2,2,2,3,3,616,42279,5744,599,0
2230,2232,0,0,7,2,3,634,44320,5919,617,0
2041,2047,0,0,1,1,3,653,46170,6090,636,0
1563,1565,0,0,0,0,3,678,47483,6314,661,0
1534,1530,0,1,1,1,3,703,48722,6585,686,0
1558,1563,0,0,0,0,3,727,49994,6848,710,0
1711,1701,1,2,2,2,3,754,51403,7119,736,0
1919,1913,0,0,0,0,3,765,53182,7236,746,15
1655,1669,0,0,0,0,3,788,54581,7483,769,0
1618,1620,0,0,0,0,3,804,56020,7648,785,0
1628,1622,0,1,1,1,3,834,57269,7993,815,0
1595,1591,0,0,4,5,3,858,58621,8216,839,0
1504,1505,2,1,1,2,3,887,59852,8457,868,0
1923,1922,0,0,8,1,3,897,61685,8540,878,0
1631,1632,2,2,1,2,3,926,63057,8766,906,0
1742,1749,0,0,0,0,3,939,64687,8869,919,0
1451,1452,0,0,0,0,3,970,65843,9132,950,0
1550,1541,0,0,8,1,3,987,67225,9284,967,0
1422,1424,5,0,0,0,3,1021,68332,9560,1000,0
1992,1985,0,0,13,1,3,1028,70251,9631,1007,0
1728,1737,1,0,1,1,3,1053,71699,9885,1032,0
1919,1915,0,0,0,0,3,1068,73445,10034,1047,9
1512,1520,0,0,0,0,3,1098,74616,10353,1077,0
1926,1928,0,0,0,0,3,1118,76328,10549,1097,0
1799,1788,2,2,2,2,3,1151,77755,10884,1129,0
2183,2187,1,1,1,1,3,1162,79812,11001,1140,0
2048,2044,0,1,3,4,3,1190,81582,11252,1167,0
1363,1363,0,0,9,0,3,1203,82831,11354,1180,0
1551,1561,0,0,0,0,3,1233,84066,11640,1209,0
1786,1780,0,1,1,1,3,1259,85602,11863,1233,0
1745,1741,0,0,0,0,3,1288,87078,12094,1259,9
2233,2237,1,1,1,1,3,1303,89176,12222,1274,0
978,975,0,0,6,3,3,1317,90017,12348,1288,0
2246,2250,1,1,1,1,3,1333,92098,12496,1304,0
1935,1940,0,0,0,0,3,1359,93732,12773,1330,0
2003,2003,0,0,0,0,3,1385,95419,13062,1355,0
2101,2093,0,0,6,3,3,1409,97232,13328,1379,0
1607,1611,0,1,1,1,3,1429,98649,13494,1399,0
1804,1803,0,0,0,0,3,1445,100274,13654,1415,6
1688,1696,0,0,0,0,3,1471,101736,13862,1441,0
1689,1688,0,0,0,0,3,1492,103211,14054,1462,0
1533,1532,0,0,0,0,3,1518,104494,14278,1488,0
1582,1577,0,0,0,0,3,1539,105868,14459,1509,9
1649,1653,2,0,0,1,3,1568,107265,14690,1537,0
1533,1538,0,0,0,0,3,1574,108739,14744,1543,0
0,0,0,0,0,0,3,1574,108739,14744,1543,0
0,0,0,0,0,0,3,1574,108739,14744,1543,0
0,0,0,0,0,0,3,1574,108739,14744,1543,0
0,0,0,0,0,0,3,1574,108739,14744,1543,0
0,0,0,0,0,0,3,1574,108739,14744,1543,0
0,2,0,0,0,0,3,1575,108739,14745,1544,0
