Total,Process,Execute,WaitList,Reply
367,1,1,329,19
368,0,0,329,6
369,1,1,329,4
370,1,1,329,3
371,0,0,329,1
372,1,1,329,3
372,0,0,329,2
373,0,0,329,4
374,0,0,329,5
375,1,330,0,4
33,0,0,10,5
30,0,0,7,3
39,0,0,12,4
37,0,0,11,4
36,1,0,6,3
36,0,0,6,3
42,0,0,10,3
41,0,0,8,3
47,0,0,11,3
50,1,12,0,3
15,0,0,6,2
14,1,0,5,3
15,0,0,6,1
16,0,0,6,2
15,0,0,6,1
15,0,0,6,1
17,0,7,0,1
17,0,0,6,1
16,0,0,10,2
16,0,10,0,2
13,0,0,5,1
13,0,0,5,1
13,0,0,5,1
14,0,0,5,2
15,1,0,5,1
17,0,0,5,1
15,0,0,5,1
16,0,0,5,1
17,0,0,5,2
18,0,6,0,1
8,0,0,0,1
7,0,0,0,1
10,0,0,1,2
10,0,0,0,1
16,0,0,5,1
16,1,0,5,1
16,0,0,5,1
18,1,0,5,1
19,0,6,0,1
13,0,0,1,2
9,1,0,4,1
9,0,0,5,1
8,0,0,3,0
12,0,0,6,1
12,0,0,6,0
12,0,0,6,1
10,1,0,3,1
12,0,0,6,1
12,3,0,2,0
14,0,6,0,1
5,0,1,0,2
5,0,1,0,3
5,0,0,0,3
6,0,0,0,3
6,0,0,0,3
6,0,0,0,2
7,0,0,0,3
7,1,0,0,2
3,0,0,0,3
6,0,0,0,3
3,0,0,0,2
3,0,0,0,2
4,0,0,0,2
10,1,0,5,1
9,0,0,5,1
11,1,0,5,2
10,0,0,5,2
10,0,0,5,2
11,1,0,5,2
11,1,5,0,1
7,0,0,3,0
11,0,0,6,1
9,0,0,5,1
11,0,0,7,0
10,0,0,5,1
9,0,0,4,0
11,0,0,5,0
9,0,0,4,1
13,0,0,6,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
13,0,0,5,1
3,0,0,0,2
3,0,0,0,-1449784544357
2,0,0,0,2
3,0,0,0,2
2,0,0,0,1
15,0,7,0,3
3,0,0,0,1
3,0,0,0,1
3,1,0,0,1
3,0,1,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
3,0,0,0,1
4,0,0,0,2
4,0,0,0,2
4,0,0,0,3
4,0,0,0,2
3,0,0,0,1
3,0,0,0,1
2,0,0,0,1
3,0,0,0,2
3,0,0,0,2
3,0,0,0,1
11,0,0,5,1
13,0,0,6,1
14,0,0,6,2
9,1,0,0,1
13,0,0,5,0
16,0,0,6,1
9,0,0,0,1
16,0,0,6,1
11,1,0,0,1
17,0,0,5,1
19,0,7,0,2
22,0,0,15,1
22,0,0,15,1
22,0,0,15,1
23,8,0,7,1
23,0,0,15,1
16,0,0,7,1
24,0,0,15,1
17,0,0,7,1
17,0,0,7,1
27,0,0,15,1
27,0,16,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
4,0,0,0,3
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
1,1,0,0,0
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
2,0,0,0,2
4,3,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
2,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
2,1,0,0,0
2,1,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
2,0,0,0,1
1,0,0,0,0
4,0,0,0,3
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
2,0,0,0,0
2,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
4,0,0,0,2
4,0,0,0,3
3,0,0,0,2
6,0,0,0,5
5,0,0,0,2
5,0,0,0,3
5,0,0,0,1
5,0,0,0,3
3,0,0,0,2
3,0,0,0,2
4,0,0,0,2
3,0,0,0,1
4,0,0,0,2
3,0,0,0,1
1,0,0,0,1
2,1,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
3,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
3,0,0,0,3
4,0,0,0,1
5,0,0,0,2
3,0,0,0,2
4,0,0,0,2
5,1,0,0,4
4,0,0,0,3
2,0,0,0,1
3,0,0,0,2
4,0,0,0,1
3,0,0,0,1
2,0,0,0,2
3,0,0,0,2
4,0,0,0,2
3,0,0,0,1
3,0,0,0,2
4,3,0,0,1
4,0,0,0,2
4,3,0,0,0
4,4,0,0,0
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
2,0,0,0,1
2,0,0,0,1
4,0,0,0,1
4,3,0,0,1
5,3,0,0,1
5,2,0,0,2
1,0,0,0,1
1,0,0,0,1
6,3,0,0,3
1,0,0,0,1
2,0,0,0,1
2,0,1,0,1
3,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
3,0,0,0,1
2,0,0,0,1
3,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
3,0,0,0,1
4,0,0,0,2
4,0,0,0,2
4,0,0,0,2
4,0,0,0,2
4,0,0,0,1
6,0,0,0,3
3,0,0,0,2
3,0,0,0,2
3,0,0,0,2
2,0,0,0,1
4,0,0,0,2
4,0,0,0,2
20,17,0,0,1
20,16,0,0,1
2,0,0,0,2
21,17,0,0,2
3,0,0,0,2
3,0,0,0,1
3,0,0,0,1
4,0,0,0,1
4,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
3,0,0,0,2
2,0,0,0,1
4,0,0,0,1
3,0,0,0,1
3,0,0,0,2
2,0,0,0,1
3,0,0,0,1
2,0,0,0,2
7,4,0,0,1
2,0,0,0,2
3,0,0,0,1
3,0,1,0,2
4,1,0,0,1
4,0,0,0,2
3,0,0,0,2
4,0,0,0,3
4,0,0,0,1
4,0,0,0,2
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
6,4,0,0,1
1,0,0,0,1
1,0,0,0,1
7,5,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,2
1,0,0,0,0
2,0,0,0,1
2,0,0,0,2
4,0,0,0,4
2,0,0,0,1
3,0,1,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
0,0,0,0,0
2,1,0,0,1
16,9,0,4,1
7,0,0,4,0
7,0,0,4,1
8,0,0,4,0
8,0,0,4,0
16,7,0,5,1
8,0,0,4,0
9,1,0,3,1
9,0,0,4,0
9,0,0,4,1
17,7,5,0,0
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
3,0,0,0,2
4,0,0,0,1
4,0,0,0,1
5,0,0,0,2
5,0,0,0,2
5,0,0,0,2
5,0,0,0,5
3,0,0,0,2
5,0,0,0,1
5,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
8,0,0,0,3
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
3,0,0,0,1
3,0,0,0,1
8,0,0,7,1
10,0,0,6,1
11,0,0,6,1
12,0,0,7,2
12,0,0,7,2
12,0,0,6,1
12,0,0,6,1
13,0,0,6,1
14,0,0,6,2
15,0,7,0,1
15,1,0,6,2
3,0,0,0,2
6,0,0,0,2
4,0,0,0,1
4,0,0,0,1
2,0,0,0,1
4,1,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,1,0,0,1
3,0,0,0,1
7,0,0,0,6
7,0,0,0,6
25,18,0,0,7
7,0,0,0,6
7,0,0,0,7
8,0,0,0,1
8,0,0,0,1
8,1,0,0,2
7,0,0,0,1
7,0,0,0,1
8,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,2
2,0,0,0,2
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
3,0,0,0,1
3,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
4,0,0,0,2
4,0,0,0,1
2,0,0,0,1
4,0,0,0,3
2,0,0,0,1
2,0,0,0,1
5,1,0,0,4
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
17,15,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
3,0,0,0,2
3,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
5,4,0,0,1
5,4,0,0,1
5,4,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,3,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,0
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
2,0,0,0,2
2,0,0,0,1
2,0,0,0,0
3,0,0,0,1
4,0,0,0,1
4,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,0
1,0,0,0,0
4,0,0,0,3
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
5,0,0,0,5
1,0,0,0,1
3,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
3,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
3,0,0,0,3
3,0,0,0,2
3,1,0,0,1
3,0,0,0,1
4,0,0,0,2
4,0,0,0,1
4,1,0,0,2
2,0,0,0,2
2,0,0,0,1
4,1,0,0,-1449784544702
3,1,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
3,0,0,0,2
2,0,1,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,1,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,0
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
3,1,0,0,0
3,0,0,0,1
3,0,0,0,1
2,0,0,0,1
2,1,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,1
3,0,0,0,2
2,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
3,0,0,0,2
2,0,0,0,1
3,0,0,0,2
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
3,0,0,0,2
1,0,0,0,1
2,0,0,0,2
2,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,1,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
3,0,0,0,2
3,0,0,0,2
2,0,0,0,2
10,0,0,5,1
11,0,0,6,1
10,0,0,5,0
11,0,0,6,1
10,0,0,5,1
12,0,0,5,1
12,0,0,5,0
11,0,0,4,2
12,0,0,5,2
14,0,6,0,2
3,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
3,0,0,0,2
3,0,0,0,3
3,0,0,0,3
2,0,0,0,2
2,0,0,0,2
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,2
0,0,0,0,0
2,0,0,0,1
0,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
4,0,0,0,4
5,0,0,0,5
4,0,0,0,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
