new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
84,73,0,1,1,2,5,8,13,59,0,2
1804,1813,0,0,0,0,5,15,1745,128,0,0
1900,1899,0,0,0,0,5,15,3645,128,0,0
2389,2374,2,2,3,3,5,15,6028,128,0,0
1855,1868,0,0,0,0,5,15,7889,128,0,0
2151,2145,0,0,1,1,5,15,10038,128,0,0
2091,2083,3,2,2,3,5,15,12127,128,0,0
2587,2602,0,0,0,0,5,15,14719,128,0,0
2373,2364,3,0,1,1,5,15,17094,128,0,0
2191,2196,0,0,0,0,5,15,19287,128,0,0
2102,2104,0,0,0,0,5,15,21388,128,0,0
2088,2089,0,0,0,0,5,15,23477,128,0,0
2290,2289,0,0,0,0,5,15,25767,128,0,0
2178,2176,0,0,0,0,5,15,27943,128,0,0
2073,2071,0,0,0,0,5,15,30018,128,0,0
2534,2531,0,1,1,1,5,15,32551,128,0,0
2746,2750,0,0,0,0,5,15,35298,128,0,0
2419,2420,0,0,0,0,5,15,37717,128,0,0
2853,2856,0,0,0,0,5,15,40572,128,0,0
2362,2359,0,0,0,1,5,15,42934,128,0,0
2906,2905,0,0,0,0,5,15,45840,128,0,0
2191,2190,0,0,0,0,5,15,48030,128,0,0
2160,2147,3,3,4,4,5,15,50184,128,0,0
2299,2304,2,2,2,2,5,15,52486,128,0,0
2242,2252,0,0,0,0,5,15,54729,128,0,0
2166,2165,1,0,0,0,5,15,56897,128,0,0
2156,2159,0,0,0,0,5,15,59054,128,0,0
2063,2065,0,0,0,0,5,15,61118,128,0,0
2180,2176,0,0,0,0,5,15,63297,128,0,0
2109,2109,0,0,0,0,5,15,65403,128,0,0
2234,2238,0,0,0,0,5,15,67641,128,0,0
2196,2194,0,0,0,0,5,15,69838,128,0,0
2182,2184,0,0,0,0,5,15,72021,128,0,0
2014,2010,0,0,1,1,5,15,74035,128,0,0
2517,2522,0,0,0,0,5,15,76554,128,0,0
2659,2659,0,0,0,0,5,15,79214,128,0,0
2553,2553,0,0,0,0,5,15,81766,128,0,0
2806,2806,0,0,0,0,5,15,84574,128,0,0
2183,2181,0,0,0,0,5,15,86758,128,0,0
2528,2530,0,0,0,0,5,15,89286,128,0,0
2500,2501,0,0,0,0,5,15,91786,128,0,0
2561,2559,0,0,0,0,5,15,94347,128,0,0
1901,1900,0,0,0,1,5,15,96246,128,0,0
2706,2708,0,0,0,0,5,15,98954,128,0,0
2821,2823,0,0,0,0,5,15,101775,128,0,0
2758,2749,1,1,1,1,5,15,104531,128,0,0
2166,2171,0,0,0,0,5,15,106696,128,0,0
2190,2188,0,0,0,0,5,15,108889,128,0,0
2111,2113,0,0,0,0,5,15,110998,128,0,0
2302,2302,0,0,0,0,5,15,113300,128,0,0
2258,2258,0,0,0,0,5,15,115560,128,0,0
2142,2136,2,0,0,1,5,15,117700,128,0,0
2137,2142,0,0,0,0,5,15,119840,128,0,0
2144,2146,0,0,0,0,5,15,121984,128,0,0
2087,2087,0,0,0,0,5,15,124069,128,0,0
2275,2274,0,0,0,0,5,15,126343,128,0,0
2129,2128,0,0,0,1,5,15,128474,128,0,0
2255,2255,0,0,0,0,5,15,130728,128,0,0
2147,2150,0,0,0,0,5,15,132877,128,0,0
2052,2051,0,0,0,0,5,15,134929,128,0,0
2032,2031,0,0,0,0,5,15,136962,128,0,0
2160,2159,0,0,0,1,5,15,139122,128,0,0
2228,2231,0,0,0,0,5,15,141349,128,0,0
2181,2179,0,0,0,0,5,15,143528,128,0,0
2027,2030,0,0,0,0,5,15,145558,128,0,0
2105,2103,0,0,0,0,5,15,147661,128,0,0
2144,2141,0,0,1,1,5,15,149807,128,0,0
2158,2163,0,0,0,0,5,15,151965,128,0,0
2319,2312,0,1,1,1,5,15,154283,128,0,0
2153,2156,0,0,0,0,5,15,156438,128,0,0
2137,2138,0,0,0,0,5,15,158575,128,0,0
2089,2090,0,0,0,0,5,15,160662,128,0,0
2065,2064,0,0,0,0,5,15,162726,128,0,0
2001,2001,0,1,0,1,5,15,164728,128,0,0
2349,2346,1,0,0,1,5,15,167077,128,0,0
2416,2415,0,0,0,1,5,15,169494,128,0,0
2404,2405,0,0,0,1,5,15,171899,128,0,0
2298,2297,0,0,0,2,5,15,174197,128,0,0
2346,2345,5,0,0,0,5,15,176538,128,0,0
2448,2452,0,0,0,0,5,15,178991,128,0,0
2636,2634,0,0,0,1,5,15,181625,128,0,0
2711,2711,0,0,0,0,5,15,184338,128,0,0
2637,2636,0,0,0,0,5,15,186975,128,0,0
1823,1824,0,0,0,1,5,15,188796,128,0,0
2088,2090,0,0,0,0,5,15,190885,128,0,0
2170,2170,0,0,0,0,5,15,193055,128,0,0
2396,2395,0,0,0,0,5,15,195450,128,0,0
2267,2269,0,0,0,0,5,15,197719,128,0,0
2455,2452,0,0,0,0,5,15,200174,128,0,0
2300,2301,0,0,0,0,5,15,202474,128,0,0
2523,2517,0,1,1,1,5,15,204996,128,0,0
2440,2440,0,1,1,1,5,15,207436,128,0,0
2074,2078,0,0,0,0,5,15,209507,128,0,0
1593,1589,2,0,0,1,5,15,211102,128,0,0
2738,2741,0,0,0,1,5,15,213843,128,0,0
2622,2621,0,0,1,1,5,15,216463,128,0,0
2666,2672,0,0,0,0,5,15,219131,128,0,0
2539,2534,0,0,1,1,5,15,221671,128,0,0
2645,2647,0,0,0,0,5,15,224316,128,0,0
2681,2681,0,0,0,0,5,15,226995,128,0,0
1836,1836,0,0,0,0,5,15,228831,128,0,0
0,0,0,0,0,0,5,15,228831,128,0,0
0,0,0,0,0,0,5,15,228831,128,0,0
0,0,0,0,0,0,5,15,228831,128,0,0
0,2,0,0,0,0,5,17,228831,128,0,0
