Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest
1583105444, 1001, 0, 0, 1011, 0, 64, 0, 20, 0
1583106455, 1002, 0, 7, 1020, 20, 64, 40, 20, 0
1583107475, 952, 0, 38, 1009, 282, 64, 62, 19, 0
1583108486, 952, 0, 41, 1007, 310, 64, 62, 19, 0
1583109494, 950, 0, 48, 1016, 312, 64, 62, 19, 0
1583110510, 950, 0, 41, 1006, 315, 64, 64, 19, 0
1583111517, 950, 0, 43, 1008, 320, 64, 64, 19, 0
1583112525, 950, 0, 45, 1009, 323, 64, 64, 19, 0
1583113534, 950, 0, 42, 1005, 319, 64, 64, 19, 0
1583114539, 951, 0, 42, 1008, 312, 67, 75, 19, 0
1583115547, 951, 0, 50, 1005, 378, 67, 75, 19, 0
1583116552, 951, 0, 65, 1026, 388, 67, 75, 19, 0
1583117578, 952, 0, 45, 1007, 374, 67, 74, 19, 0
1583118585, 950, 0, 49, 1010, 370, 67, 74, 19, 0
1583119595, 952, 0, 59, 1017, 376, 67, 74, 19, 0
1583120612, 950, 0, 46, 1006, 363, 67, 73, 19, 0
1583121618, 952, 0, 45, 1007, 364, 67, 73, 19, 0
1583122625, 952, 0, 51, 1017, 367, 67, 73, 19, 0
1583123643, 951, 0, 44, 1007, 355, 67, 72, 19, 0
1583124650, 950, 0, 48, 1011, 352, 68, 75, 19, 0
1583125661, 950, 0, 49, 1015, 369, 68, 75, 19, 0
1583126676, 951, 0, 46, 1006, 364, 68, 75, 19, 0
1583127682, 951, 0, 48, 1006, 359, 68, 75, 19, 0
1583128689, 950, 0, 47, 1007, 356, 68, 74, 19, 0
1583129696, 952, 0, 40, 1008, 346, 68, 73, 19, 0
1583130704, 950, 0, 47, 1008, 346, 68, 74, 19, 0
1583131712, 951, 0, 52, 1011, 357, 68, 74, 19, 0
1583132723, 951, 0, 49, 1019, 358, 68, 74, 19, 0
1583133742, 950, 0, 48, 1012, 337, 68, 72, 19, 0
1583134754, 950, 0, 49, 1011, 350, 69, 75, 19, 0
1583135765, 950, 0, 45, 1007, 370, 69, 76, 19, 0
1583136772, 950, 0, 47, 1010, 362, 69, 76, 19, 0
1583137782, 951, 0, 51, 1011, 355, 69, 76, 19, 0
1583138793, 951, 0, 48, 1009, 365, 69, 75, 19, 0
1583139802, 950, 0, 51, 1009, 346, 69, 75, 19, 0
1583140811, 951, 0, 46, 1011, 361, 69, 77, 19, 0
1583141823, 950, 0, 45, 1007, 368, 69, 77, 19, 0
1583142832, 950, 0, 49, 1011, 364, 69, 79, 19, 0
1583143843, 950, 0, 47, 1006, 360, 69, 78, 19, 0
1583144849, 952, 0, 51, 1011, 369, 69, 78, 19, 0
1583145860, 951, 0, 54, 1010, 352, 68, 75, 19, 0
