Total,Process,Execute,WaitList,Reply
349,1,0,317,16
348,0,0,317,5
350,0,0,317,3
350,0,0,317,3
353,1,0,317,2
353,1,0,317,1
355,0,0,317,1
355,1,0,317,3
359,0,0,317,2
360,1,317,0,3
5,0,0,0,4
6,1,0,0,4
5,0,0,0,4
7,0,0,0,2
7,0,0,0,3
5,0,1,0,2
5,0,0,0,3
9,0,0,0,3
20,0,0,7,2
21,0,0,8,2
24,0,0,10,2
23,0,0,8,3
24,0,0,8,1
26,0,0,9,3
30,1,0,12,4
29,0,0,10,5
32,1,12,0,3
33,0,0,12,3
8,0,0,6,2
14,0,6,0,3
15,0,0,6,3
21,0,0,12,4
18,0,0,9,3
21,0,0,12,4
20,0,0,9,3
22,0,0,11,3
25,0,13,0,3
24,0,0,12,4
16,0,0,5,2
16,1,0,5,2
17,0,0,5,1
16,0,0,4,2
21,0,0,5,2
21,0,0,5,1
23,0,0,5,2
22,0,0,4,3
25,0,0,5,2
26,0,6,0,3
12,0,0,4,2
14,0,0,5,2
15,0,0,5,1
14,0,0,5,1
16,0,0,5,1
14,0,0,4,1
15,0,0,5,1
17,0,0,5,1
17,0,0,5,2
18,0,6,0,1
23,0,0,7,3
25,0,0,7,3
24,0,0,6,3
23,0,0,4,2
25,0,0,4,2
29,0,0,6,3
29,0,0,6,5
30,1,0,6,4
32,0,8,0,4
32,0,0,6,5
7,0,0,0,3
8,0,0,0,4
9,0,0,0,4
10,0,0,0,5
5,1,0,0,4
6,1,0,0,3
7,0,0,0,4
8,0,0,0,3
8,0,0,0,7
7,0,0,0,3
8,0,0,0,3
4,0,1,0,2
5,0,0,0,2
2,0,0,0,1
4,0,0,0,2
4,0,0,0,3
3,0,0,0,2
4,0,0,0,1
4,1,0,0,2
4,1,0,0,2
5,0,0,0,3
2,0,0,0,2
2,0,0,0,2
3,0,0,0,1
3,0,0,0,1
4,0,1,0,1
5,0,1,0,2
5,0,0,0,2
5,0,0,0,2
6,0,0,0,2
8,0,0,0,3
2,0,0,0,2
5,0,0,0,3
2,0,0,0,2
3,0,0,0,2
3,0,0,0,1
4,0,0,0,2
8,2,0,0,2
2,0,0,0,2
2,0,0,0,2
6,0,0,0,3
4,0,0,0,2
3,1,0,0,2
5,0,0,0,2
6,1,0,0,2
7,0,0,0,3
7,0,0,0,3
6,1,0,0,2
7,0,0,0,3
24,20,0,0,2
2,0,0,0,2
10,0,0,5,1
11,0,0,5,1
38,25,0,7,0
13,0,0,7,1
12,0,0,5,1
17,0,0,7,1
17,0,0,7,2
17,0,0,7,3
4,1,0,0,2
7,0,0,0,3
20,0,9,0,1
19,1,0,5,5
6,0,0,0,1
17,0,0,0,1
17,1,0,0,10
16,0,0,0,11
17,0,0,0,12
5,0,0,0,5
16,0,0,0,13
5,0,0,0,3
6,0,0,0,2
22,0,0,0,19
6,0,0,0,2
6,0,0,0,1
4,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
16,12,0,0,1
2,0,0,0,2
1,0,0,0,1
3,1,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,2
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
11,0,0,5,1
12,0,0,5,1
12,0,0,5,1
12,0,0,5,1
13,0,0,5,1
13,0,0,5,1
12,0,0,4,1
12,0,0,4,1
14,0,0,5,1
14,1,0,4,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
17,1,5,0,2
3,0,0,0,2
3,0,0,0,2
3,0,0,0,2
3,0,0,0,2
2,0,0,0,1
4,1,1,0,1
3,0,0,0,2
3,0,0,0,1
2,0,0,0,1
3,0,0,0,2
3,0,0,0,2
2,0,0,0,1
14,0,0,7,2
14,0,0,7,1
14,0,0,6,1
15,0,0,7,1
16,0,0,7,1
16,0,0,7,1
15,0,0,6,1
15,0,0,6,2
17,0,0,7,1
18,1,0,6,1
18,0,7,0,2
4,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
4,0,0,0,2
4,0,0,0,1
4,0,0,0,1
4,0,0,0,2
4,0,0,0,2
5,0,0,0,3
2,0,0,0,1
3,1,0,0,1
4,1,0,0,2
2,0,0,0,2
4,0,0,0,3
3,0,0,0,2
4,0,0,0,3
3,0,0,0,1
3,0,0,0,2
4,0,0,0,3
4,0,0,0,2
3,0,0,0,1
2,0,0,0,1
3,0,1,0,1
4,0,0,0,3
3,0,0,0,1
2,0,0,0,1
3,1,0,0,2
3,0,0,0,2
3,0,0,0,1
2,1,0,0,0
2,0,0,0,1
3,0,1,0,0
3,0,0,0,2
2,0,0,0,1
4,0,1,0,2
2,0,0,0,1
3,0,0,0,1
3,0,0,0,1
3,0,0,0,2
3,1,0,0,2
3,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,2
2,0,1,0,1
8,0,0,0,7
1,0,0,0,1
2,0,0,0,1
3,0,0,0,2
