new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
87,79,0,0,6,1,5,8,17,62,0,0
1756,1746,4,3,3,3,5,17,1679,139,3,0
1993,2003,2,0,1,0,5,22,3598,213,8,0
2227,2228,0,0,0,0,5,29,5758,276,15,0
1889,1892,0,0,0,0,5,42,7504,407,28,0
2051,2049,0,0,0,0,5,49,9491,461,35,0
2127,2129,0,0,0,0,5,69,11296,767,55,0
2187,2183,1,0,1,1,5,78,13359,883,64,0
2050,2055,0,0,0,0,5,91,15160,1119,77,0
2263,2261,0,0,0,0,5,100,17274,1259,86,0
1875,1876,0,0,0,0,5,109,19037,1362,95,0
1875,1866,0,0,8,1,5,122,20794,1468,108,0
2058,2068,0,0,0,0,5,130,22775,1537,116,0
2173,2170,0,0,1,1,5,136,24893,1589,122,0
2348,2351,0,0,0,0,5,145,27150,1670,131,0
2415,2415,0,0,0,0,5,152,29495,1733,138,0
2527,2518,0,0,9,0,5,165,31882,1861,151,0
1374,1380,0,0,0,0,5,180,33104,1994,166,0
2376,2377,0,0,0,0,5,187,35414,2057,173,0
2113,2113,0,0,0,0,5,197,37416,2158,183,0
2097,2095,0,0,0,0,5,204,39448,2213,190,0
1814,1816,0,0,0,0,5,216,41133,2333,202,0
1953,1945,0,0,9,0,5,228,42940,2467,214,0
1666,1668,1,0,1,1,5,234,44549,2515,220,0
1777,1774,1,1,2,2,5,241,46223,2612,227,0
2002,2011,1,0,0,0,5,244,48189,2647,230,0
1910,1907,0,0,0,0,5,256,49938,2796,242,0
1913,1913,0,0,0,0,5,268,51739,2897,254,0
2076,2079,0,0,0,0,5,276,53720,2983,262,0
1810,1810,0,0,0,0,5,294,55316,3179,280,0
2076,2074,0,0,0,0,5,300,57319,3246,286,0
2029,2031,0,0,0,0,5,316,59152,3426,302,0
2267,2264,0,0,0,0,5,321,61358,3483,307,0
1897,1903,0,0,0,0,5,336,63053,3672,322,0
1939,1934,0,0,0,0,5,342,64927,3731,328,0
2166,2171,0,0,0,0,5,354,66973,3839,340,0
2520,2515,1,0,0,1,5,367,69363,3955,353,0
1758,1758,0,0,0,0,5,376,71032,4036,362,0
2537,2540,0,0,0,0,5,384,73491,4106,370,0
2343,2343,0,0,0,0,5,398,75656,4268,384,0
2062,2058,1,0,0,0,5,414,77539,4432,400,0
1913,1916,0,0,0,0,5,426,79334,4537,412,0
2031,2030,0,0,0,0,5,439,81219,4671,425,0
2068,2069,0,0,0,0,5,450,83172,4776,436,0
2055,2056,0,0,0,1,5,459,85143,4851,445,0
1795,1794,0,0,1,0,5,472,86763,5013,458,0
1934,1934,0,0,0,0,5,481,88604,5094,467,0
1806,1808,0,0,0,0,5,496,90282,5209,480,0
1859,1857,0,0,0,0,5,511,91998,5338,495,0
2094,2095,0,0,0,0,5,519,94028,5392,503,0
2042,2041,0,0,0,0,5,527,95992,5461,511,0
1969,1970,0,0,0,0,5,537,97848,5565,521,0
1959,1956,0,0,0,0,5,550,99678,5683,534,0
1974,1972,0,0,1,1,5,565,101512,5805,548,0
1802,1798,4,0,1,0,5,580,103168,5935,563,0
2117,2125,0,0,0,0,5,587,105213,6002,570,0
2157,2156,0,0,0,0,5,593,107308,6060,576,0
1983,1982,0,0,0,0,5,602,109197,6145,585,0
1754,1749,0,0,0,0,5,614,110806,6269,597,8
1898,1894,0,0,0,0,5,625,112566,6392,608,13
1859,1872,0,0,0,0,5,638,114280,6537,621,0
2242,2241,0,0,0,0,5,646,116442,6608,629,0
1935,1935,0,0,0,0,5,656,118277,6700,639,0
2199,2197,0,0,0,0,5,664,120399,6775,647,0
2125,2127,0,0,0,0,5,673,122437,6862,656,0
2065,2060,0,1,1,1,5,689,124343,7006,672,0
2103,2109,0,0,0,0,5,703,126308,7130,686,0
2476,2477,0,0,0,0,5,712,128685,7222,695,0
2438,2436,0,0,0,0,5,721,131029,7304,704,0
2686,2686,0,0,0,0,5,723,133698,7322,706,0
1657,1660,0,0,0,0,5,733,135255,7412,716,0
2031,2021,0,0,6,3,5,741,137206,7484,724,0
2120,2127,0,0,0,0,5,750,139233,7568,733,0
2192,2187,5,0,0,0,5,767,141265,7709,750,0
2435,2440,0,0,1,1,5,776,143617,7788,759,0
2500,2502,0,0,0,0,5,781,146067,7833,764,0
2103,2104,0,0,0,0,5,795,148020,7967,777,0
1389,1387,0,0,0,0,5,801,149351,8021,783,0
2323,2326,0,0,0,0,5,816,151512,8169,798,0
2485,2483,0,0,0,0,5,829,153865,8286,811,0
2751,2750,0,0,0,0,5,835,156559,8340,817,0
2722,2724,0,0,0,0,5,840,159231,8385,822,0
2438,2435,0,0,0,0,5,848,161589,8457,830,0
1982,1983,0,0,0,0,5,863,163420,8591,845,0
1907,1899,0,0,0,0,5,877,165180,8716,859,9
1933,1933,0,0,8,1,5,893,166948,8875,875,0
1957,1957,0,0,8,1,5,900,168835,8938,882,0
1992,2001,0,0,0,0,5,907,170756,9001,889,0
2017,2016,0,0,0,0,5,916,172684,9081,898,0
1870,1862,0,0,7,2,5,927,174450,9175,909,0
1993,2002,0,0,0,0,5,940,176312,9292,922,0
1693,1693,0,0,0,0,5,953,177875,9409,935,0
0,0,0,0,0,0,5,953,177875,9409,935,0
0,0,0,0,0,0,5,953,177875,9409,935,0
0,0,0,0,0,0,5,953,177875,9409,935,0
0,0,0,0,0,0,5,953,177875,9409,935,0
0,1,0,0,0,0,5,954,177875,9409,936,0
