new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
243,242,0,0,0,0,4,9,162,71,0,0
1651,1634,4,3,3,4,4,23,1654,210,10,0
1554,1566,1,0,0,1,4,47,2978,422,34,0
1760,1761,0,0,0,1,4,71,4515,622,58,0
1554,1551,0,1,1,1,4,98,5683,981,85,0
2074,2071,0,0,5,4,4,127,7439,1271,114,0
1941,1949,0,1,0,0,4,149,9084,1545,136,0
1872,1873,0,0,0,0,4,166,10717,1769,153,0
1655,1648,3,0,1,0,4,199,11999,2106,186,0
1816,1819,0,0,1,0,4,213,13686,2224,200,0
1495,1491,0,0,4,5,4,253,14743,2622,239,0
2254,2253,1,1,1,2,4,268,16850,2752,254,0
1735,1745,0,0,0,0,4,292,18358,2958,278,0
2033,2030,0,0,0,0,4,304,20271,3065,290,0
1707,1710,0,0,0,0,4,335,21576,3438,321,0
1802,1795,2,0,0,1,4,356,23167,3626,342,0
1521,1518,0,0,6,3,4,385,24401,3886,371,0
1895,1887,4,3,3,4,4,407,25967,4186,393,0
1849,1857,0,0,5,4,4,435,27432,4550,421,0
1858,1864,0,0,0,1,4,450,29145,4680,436,0
1506,1501,3,0,0,2,4,474,30424,4886,460,0
1753,1761,0,0,0,0,4,495,31983,5061,481,0
1823,1804,0,0,0,0,4,516,33556,5271,502,19
1963,1973,5,0,0,1,4,549,35097,5675,535,0
1756,1760,0,0,1,1,4,568,36676,5837,554,0
2245,2247,0,0,0,0,4,590,38711,6025,576,0
2099,2103,0,0,0,0,4,613,40583,6230,598,0
680,682,0,0,0,0,4,625,41108,6375,610,0
193,193,0,0,0,0,4,627,41281,6393,612,0
1953,1953,0,0,0,0,4,651,42896,6707,636,0
2561,2558,0,0,0,0,4,668,45259,6885,652,0
1721,1720,0,0,0,1,4,701,46608,7227,684,0
1838,1839,0,0,0,0,4,712,48284,7376,695,0
1600,1596,1,0,0,1,4,740,49553,7680,723,0
1772,1767,2,2,2,2,4,764,51027,7952,747,0
1488,1496,0,1,0,0,4,795,52180,8258,778,0
1814,1810,2,2,1,0,4,812,53832,8401,795,0
1736,1740,0,0,2,3,4,839,55317,8631,822,0
1773,1777,0,0,0,0,4,853,56934,8771,836,0
1722,1715,2,1,1,1,4,881,58350,9048,864,0
1550,1559,0,0,0,0,4,902,59715,9215,883,0
1541,1534,0,0,3,4,4,934,60965,9475,914,0
1934,1934,2,0,0,1,4,948,62760,9598,928,0
1720,1717,0,0,4,5,4,972,64237,9819,951,0
1830,1837,0,0,0,0,4,991,65884,9980,970,0
1600,1593,1,1,2,2,4,1020,67192,10244,999,0
1377,1374,2,2,2,3,4,1035,68419,10377,1014,0
1563,1574,0,0,0,0,4,1066,69625,10706,1044,0
1831,1828,0,0,0,0,4,1086,71197,10945,1064,0
1623,1624,0,0,0,1,4,1117,72510,11225,1094,0
2208,2201,1,1,1,2,4,1135,74533,11390,1111,0
1552,1559,0,0,0,0,4,1163,75761,11686,1138,0
1979,1970,1,2,2,2,4,1183,77522,11883,1158,0
2017,2017,0,0,4,5,4,1208,79226,12174,1183,0
2094,2095,1,1,1,2,4,1233,81047,12420,1208,0
2174,2175,0,0,2,3,4,1254,82947,12673,1229,0
1392,1397,0,0,0,0,4,1263,84242,12763,1238,0
1936,1936,0,0,0,0,4,1281,86023,12900,1256,0
1973,1969,0,0,1,1,4,1306,87757,13114,1281,0
1903,1904,0,0,0,0,4,1331,89405,13339,1306,5
1139,1145,0,0,0,0,4,1354,90327,13539,1329,0
1765,1763,0,0,0,0,4,1372,91912,13701,1347,0
2063,2062,0,0,0,0,4,1400,93687,13960,1375,0
2143,2139,1,0,0,1,4,1416,95650,14124,1391,0
1951,1952,0,0,0,0,4,1443,97301,14396,1418,0
2144,2144,0,0,0,0,4,1465,99185,14632,1440,0
1664,1665,0,0,0,0,4,1493,100539,14916,1468,0
1986,1986,0,0,0,0,4,1506,102405,15025,1481,0
1661,1655,0,0,4,5,4,1531,103809,15262,1506,0
1852,1860,0,0,0,0,4,1549,105491,15412,1524,0
1489,1481,0,0,0,0,4,1584,106630,15719,1559,9
1843,1852,0,0,0,0,4,1598,108346,15841,1573,0
1465,1456,0,0,7,2,4,1632,109511,16108,1606,0
1853,1853,0,0,8,1,4,1647,111215,16242,1621,0
1641,1651,0,0,0,0,4,1670,112646,16429,1643,0
1725,1718,0,1,1,1,4,1688,114198,16583,1661,0
670,677,0,0,0,0,4,1696,114758,16686,1669,0
0,0,0,0,0,0,4,1696,114758,16686,1669,0
0,0,0,0,0,0,4,1696,114758,16686,1669,0
0,0,0,0,0,0,4,1696,114758,16686,1669,0
0,0,0,0,0,0,4,1696,114758,16686,1669,0
