Total,Process,Execute,WaitList,Reply
438,0,0,411,10
438,0,0,411,3
440,0,0,411,2
440,0,0,411,2
442,5,0,411,2
443,5,0,411,2
443,5,0,411,2
438,0,0,411,2
445,5,411,0,2
440,0,0,411,2
32,0,0,10,6
33,0,0,11,3
35,0,0,11,2
34,0,0,10,3
35,0,0,8,5
39,0,0,11,3
38,0,0,8,2
44,0,0,11,3
42,0,0,11,3
46,0,12,0,4
1,0,0,0,1
14,0,0,6,1
16,0,0,7,2
16,0,0,6,2
16,0,0,6,3
18,0,0,6,3
17,0,0,6,3
19,0,0,7,2
14,4,0,0,1
6,0,0,0,1
5,0,0,0,1
22,0,7,0,4
5,0,0,0,1
3,0,0,0,1
3,0,0,0,1
24,0,0,7,7
8,0,0,0,2
8,0,0,0,2
18,0,0,8,3
17,1,0,7,2
18,0,0,8,3
18,0,0,7,3
18,0,0,7,2
20,0,0,8,2
11,0,0,0,1
23,0,8,0,1
20,0,0,8,2
21,0,0,9,1
23,0,0,9,2
22,1,0,7,3
24,0,0,7,2
25,0,0,9,2
27,0,0,9,2
24,0,0,7,2
28,0,0,9,1
28,0,9,0,2
3,0,0,0,1
4,0,0,0,2
4,1,0,0,2
4,0,0,0,3
4,1,0,0,2
4,1,0,0,1
6,1,0,0,2
6,0,0,0,2
3,0,0,0,1
2,0,0,0,1
5,0,0,0,2
3,0,0,0,2
4,0,0,0,2
4,0,0,0,2
6,3,0,0,2
5,0,0,0,3
15,0,0,5,2
15,0,0,5,2
16,0,0,5,1
16,0,0,5,2
17,0,0,5,1
17,0,0,5,2
18,0,0,5,1
18,0,0,5,1
19,0,0,5,1
45,22,6,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
3,0,0,0,0
3,0,0,0,1
3,1,0,0,2
2,0,0,0,1
3,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,1
3,0,0,0,1
1,0,0,0,1
1,0,0,0,0
3,1,0,0,0
1,0,0,0,0
2,1,0,0,1
2,0,1,0,0
2,0,0,0,1
2,1,0,0,1
2,0,0,0,1
1,0,0,0,0
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
4,0,0,0,2
5,0,0,0,1
5,0,0,0,2
5,0,0,0,1
3,1,0,0,1
3,0,0,0,1
3,0,0,0,1
4,0,0,0,2
4,0,0,0,1
2,1,0,0,1
2,0,0,0,1
2,0,0,0,1
4,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
9,0,0,5,1
9,0,0,5,0
9,0,0,5,2
9,0,0,5,1
10,0,0,5,1
10,0,0,5,1
11,0,0,5,1
11,0,0,5,1
11,0,0,5,1
12,1,5,0,1
12,0,6,0,1
2,1,0,0,1
3,0,0,0,2
3,1,0,0,1
4,0,1,0,2
3,0,0,0,1
3,0,0,0,2
4,0,0,0,1
4,0,0,0,2
5,0,0,0,1
5,0,0,0,1
5,1,0,0,2
4,0,0,0,1
3,0,0,0,1
3,0,0,0,2
3,0,0,0,2
14,0,0,0,10
14,0,0,0,11
2,0,0,0,2
2,0,0,0,2
3,0,0,0,2
3,0,0,0,2
3,0,0,0,1
4,0,0,0,1
4,1,0,0,1
4,0,0,0,2
5,0,0,0,2
2,0,0,0,1
2,0,0,0,2
3,0,0,0,1
3,0,0,0,2
3,0,1,0,1
3,0,1,0,1
4,0,0,0,1
3,0,0,0,2
3,0,0,0,1
4,0,0,0,1
2,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
5,4,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
3,0,0,0,2
5,0,0,0,1
4,0,0,0,2
4,0,0,0,2
4,0,0,0,3
3,0,0,0,1
4,0,0,0,1
3,0,0,0,1
3,1,0,0,1
3,0,0,0,1
