Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2354704020, 953, 0, 0, 1004, 0, 9, 0, 19, 0, 0
2354705024, 1002, 0, 4, 1022, 129, 9, 28, 20, 0, 87
2354706046, 904, 0, 48, 1029, 569, 9, 90, 18, 0, 1248
2354707075, 950, 0, 71, 1041, 522, 9, 96, 19, 0, 1816
2354708116, 950, 0, 70, 1040, 489, 9, 96, 19, 0, 1807
2354709156, 950, 0, 69, 1040, 492, 9, 96, 19, 0, 1810
2354710196, 901, 0, 75, 1002, 477, 9, 96, 18, 0, 1714
2354711198, 951, 0, 70, 1038, 486, 9, 95, 19, 0, 1805
2354712236, 950, 0, 68, 1036, 487, 9, 95, 19, 0, 1805
2354713273, 950, 1, 69, 1044, 494, 9, 95, 19, 0, 1800
2354714317, 951, 2, 68, 1043, 481, 9, 94, 19, 0, 1785
2354715361, 950, 0, 74, 1047, 486, 9, 94, 19, 0, 1769
2354716408, 950, 0, 77, 1052, 492, 9, 95, 19, 0, 1801
2354717460, 952, 0, 71, 1052, 494, 9, 95, 19, 0, 1798
2354718512, 950, 0, 75, 1046, 483, 9, 96, 19, 0, 1808
2354719558, 950, 1, 72, 1049, 502, 9, 96, 19, 0, 1811
2354720608, 950, 0, 74, 1045, 488, 9, 96, 19, 0, 1803
2354721654, 950, 1, 73, 1041, 496, 9, 96, 19, 0, 1824
2354722695, 901, 0, 81, 1001, 479, 9, 97, 18, 0, 1743
2354723696, 900, 1, 79, 1002, 474, 9, 96, 18, 0, 1728
2354724698, 950, 0, 75, 1052, 486, 9, 96, 19, 0, 1813
2354725750, 951, 1, 69, 1040, 487, 9, 95, 19, 0, 1790
2354726790, 950, 0, 65, 1040, 478, 9, 94, 19, 0, 1786
2354727831, 950, 0, 71, 1039, 480, 9, 94, 19, 0, 1786
2354728870, 950, 0, 69, 1037, 491, 9, 95, 19, 0, 1790
2354729907, 951, 0, 72, 1038, 474, 9, 95, 19, 0, 1802
2354730945, 950, 0, 70, 1042, 478, 9, 95, 19, 0, 1801
2354731987, 952, 1, 69, 1041, 470, 9, 96, 19, 0, 1812
2354733028, 950, 0, 70, 1035, 488, 9, 96, 19, 0, 1810
2354734063, 950, 0, 74, 1038, 483, 9, 96, 19, 0, 1798
2354735101, 950, 0, 71, 1041, 462, 9, 94, 19, 0, 1786
2354736142, 951, 0, 75, 1038, 459, 9, 95, 19, 0, 1794
2354737180, 950, 0, 69, 1042, 468, 9, 95, 19, 0, 1802
2354738222, 950, 0, 74, 1037, 460, 9, 94, 19, 0, 1764
2354739259, 951, 0, 63, 1038, 459, 9, 92, 19, 0, 1748
2354740297, 950, 0, 73, 1055, 458, 9, 93, 19, 0, 1752
2354741352, 950, 0, 78, 1054, 454, 9, 93, 19, 0, 1751
2354742406, 950, 0, 70, 1047, 444, 9, 92, 19, 0, 1736
2354743453, 951, 0, 77, 1051, 464, 10, 100, 19, 0, 1774
2354744504, 902, 0, 83, 1010, 471, 10, 100, 18, 0, 1795
2354745514, 901, 0, 69, 1003, 468, 10, 100, 18, 0, 1800
2354746517, 950, 0, 87, 1056, 486, 10, 101, 19, 0, 1917
2354747573, 902, 1, 72, 1007, 476, 10, 102, 18, 0, 1820
2354748580, 952, 0, 84, 1054, 501, 10, 103, 19, 0, 1956
2354749634, 950, 0, 88, 1051, 515, 10, 103, 19, 0, 1957
2354750685, 950, 0, 87, 1047, 508, 10, 103, 19, 0, 1955
2354751732, 950, 0, 74, 1043, 488, 10, 102, 19, 0, 1938
2354752775, 951, 0, 82, 1048, 488, 10, 102, 19, 0, 1938
2354753823, 900, 1, 76, 1004, 473, 10, 102, 18, 0, 1795
2354754827, 952, 0, 71, 1052, 468, 9, 96, 19, 0, 1793
2354755879, 950, 1, 72, 1046, 454, 9, 94, 19, 0, 1768
2354756925, 900, 1, 68, 1002, 432, 9, 93, 18, 0, 1674
2354757927, 951, 0, 72, 1041, 440, 9, 93, 19, 0, 1757
2354758968, 952, 0, 77, 1043, 447, 9, 93, 19, 0, 1749
2354760011, 950, 0, 78, 1048, 458, 9, 93, 19, 0, 1763
2354761059, 951, 0, 73, 1048, 442, 9, 92, 19, 0, 1734
2354762107, 952, 0, 71, 1045, 440, 9, 93, 19, 0, 1758
2354763152, 950, 0, 72, 1050, 448, 9, 95, 19, 0, 1785
2354764202, 951, 1, 81, 1050, 463, 10, 100, 19, 0, 1878
2354765253, 950, 0, 83, 1048, 488, 10, 100, 19, 0, 1887
2354766301, 951, 0, 67, 1040, 484, 10, 99, 19, 0, 1881
2354767341, 952, 0, 80, 1046, 474, 10, 99, 19, 0, 1881
2354768387, 950, 1, 75, 1039, 473, 10, 99, 19, 0, 1875
2354769426, 950, 0, 69, 1040, 470, 10, 98, 19, 0, 1844
2354770466, 950, 0, 70, 1038, 467, 10, 98, 19, 0, 1825
2354771504, 952, 0, 66, 1034, 455, 10, 95, 19, 0, 1796
2354772538, 951, 0, 63, 1039, 438, 10, 95, 19, 0, 1779
2354773577, 950, 0, 63, 1041, 458, 12, 99, 19, 0, 1776
