Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2354122011, 1001, 0, 7, 1026, 0, 9, 28, 20, 0, 74
2354123037, 902, 0, 68, 1044, 336, 9, 108, 18, 0, 1308
2354124082, 951, 0, 80, 1039, 576, 9, 113, 19, 0, 2144
2354125121, 901, 0, 91, 1006, 563, 9, 113, 18, 0, 2029
2354126127, 950, 0, 93, 1055, 585, 9, 113, 19, 0, 2138
2354127182, 950, 0, 87, 1050, 587, 9, 112, 19, 0, 2128
2354128232, 950, 0, 85, 1049, 588, 9, 114, 19, 0, 2136
2354129281, 901, 0, 90, 1006, 568, 9, 115, 18, 0, 2062
2354130287, 900, 0, 85, 1000, 583, 9, 116, 18, 0, 2082
2354131288, 950, 0, 92, 1048, 590, 9, 116, 19, 0, 2179
2354132336, 900, 0, 96, 1001, 565, 9, 114, 18, 0, 2052
2354133337, 951, 0, 87, 1047, 585, 9, 115, 19, 0, 2175
2354134384, 951, 0, 84, 1046, 594, 9, 115, 19, 0, 2181
2354135430, 952, 0, 96, 1053, 597, 9, 116, 19, 0, 2187
2354136483, 950, 0, 95, 1048, 600, 9, 116, 19, 0, 2195
2354137531, 950, 0, 95, 1052, 588, 9, 115, 19, 0, 2185
2354138583, 950, 0, 92, 1049, 605, 9, 117, 19, 0, 2204
2354139632, 953, 0, 90, 1047, 611, 9, 119, 19, 0, 2243
2354140679, 951, 0, 99, 1054, 624, 9, 121, 19, 0, 2277
2354141733, 951, 0, 93, 1053, 618, 9, 121, 19, 0, 2294
2354142787, 951, 0, 88, 1045, 605, 9, 118, 19, 0, 2229
2354143832, 950, 0, 96, 1054, 602, 9, 117, 19, 0, 2223
2354144886, 950, 0, 78, 1044, 607, 9, 118, 19, 0, 2231
2354145930, 950, 0, 82, 1043, 594, 9, 118, 19, 0, 2242
2354146973, 951, 0, 80, 1044, 603, 9, 118, 19, 0, 2242
2354148017, 950, 0, 81, 1045, 590, 9, 119, 19, 0, 2244
2354149062, 950, 0, 93, 1053, 619, 9, 120, 19, 0, 2275
2354150115, 950, 0, 85, 1043, 601, 9, 120, 19, 0, 2280
2354151158, 950, 0, 88, 1043, 617, 9, 122, 19, 0, 2301
2354152201, 950, 0, 89, 1043, 607, 9, 121, 19, 0, 2281
2354153244, 912, 0, 87, 1006, 585, 9, 121, 18, 0, 2169
2354154250, 951, 0, 93, 1054, 612, 9, 122, 19, 0, 2304
2354155304, 950, 0, 83, 1045, 596, 9, 122, 19, 0, 2285
2354156349, 951, 0, 83, 1049, 595, 9, 121, 19, 0, 2274
2354157398, 950, 0, 78, 1044, 604, 9, 121, 19, 0, 2296
2354158442, 950, 0, 83, 1043, 607, 9, 120, 19, 0, 2280
2354159485, 950, 0, 91, 1055, 621, 9, 123, 19, 0, 2299
2354160540, 950, 0, 89, 1048, 611, 9, 125, 19, 0, 2364
2354161588, 900, 0, 98, 1003, 586, 9, 125, 18, 0, 2250
2354162591, 950, 0, 91, 1054, 627, 9, 127, 19, 0, 2393
2354163645, 950, 0, 94, 1051, 627, 9, 126, 19, 0, 2376
2354164696, 951, 0, 88, 1048, 619, 9, 126, 19, 0, 2388
2354165744, 950, 0, 90, 1047, 608, 9, 126, 19, 0, 2392
2354166791, 901, 0, 91, 1001, 584, 9, 127, 18, 0, 2268
2354167792, 951, 0, 89, 1047, 628, 9, 128, 19, 0, 2423
2354168839, 900, 0, 99, 1009, 601, 9, 128, 18, 0, 2297
2354169849, 950, 0, 87, 1045, 630, 9, 128, 19, 0, 2431
2354170894, 951, 0, 83, 1043, 615, 9, 128, 19, 0, 2432
2354171937, 901, 0, 95, 1001, 594, 9, 128, 18, 0, 2304
2354172938, 952, 0, 85, 1045, 613, 9, 128, 19, 0, 2422
2354173983, 950, 0, 89, 1045, 623, 9, 127, 19, 0, 2404
2354175028, 951, 0, 84, 1039, 621, 9, 127, 19, 0, 2406
2354176067, 950, 0, 94, 1051, 623, 9, 128, 19, 0, 2424
2354177119, 951, 0, 95, 1049, 618, 9, 128, 19, 0, 2430
2354178168, 950, 0, 97, 1053, 656, 9, 130, 19, 0, 2462
2354179221, 950, 0, 94, 1050, 641, 9, 130, 19, 0, 2464
2354180271, 950, 0, 90, 1048, 643, 9, 130, 19, 0, 2454
2354181319, 951, 0, 80, 1039, 623, 9, 129, 19, 0, 2435
2354182358, 950, 0, 79, 1037, 627, 9, 130, 19, 0, 2439
2354183395, 951, 0, 84, 1045, 645, 9, 131, 19, 0, 2477
2354184440, 951, 0, 83, 1038, 637, 9, 130, 19, 0, 2470
2354185478, 951, 0, 84, 1042, 637, 9, 130, 19, 0, 2458
