Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2355081574, 1002, 0, 0, 1011, 0, 144, 0, 20, 0, 0
2355082585, 1002, 0, 0, 1007, 0, 144, 0, 20, 0, 0
2355083593, 954, 0, 14, 1024, 169, 144, 80, 19, 0, 798
2355084617, 950, 0, 41, 1017, 503, 144, 111, 19, 0, 1957
2355085635, 950, 0, 55, 1008, 553, 144, 110, 19, 0, 2090
2355086643, 951, 0, 58, 1020, 554, 144, 110, 19, 0, 2090
2355087664, 952, 0, 46, 1014, 557, 144, 110, 19, 0, 2090
2355088679, 950, 0, 56, 1015, 556, 144, 110, 19, 0, 2079
2355089694, 950, 0, 57, 1013, 554, 144, 110, 19, 0, 2075
2355090707, 950, 0, 60, 1019, 541, 144, 110, 19, 0, 2065
2355091726, 950, 0, 50, 1011, 502, 141, 100, 19, 0, 1896
2355092738, 950, 0, 45, 1006, 499, 141, 100, 19, 0, 1891
2355093744, 951, 0, 51, 1012, 495, 141, 100, 19, 0, 1878
2355094756, 951, 0, 53, 1014, 498, 141, 98, 19, 0, 1862
2355095770, 951, 0, 45, 1009, 503, 141, 98, 19, 0, 1861
2355096780, 950, 0, 49, 1014, 493, 141, 98, 19, 0, 1862
2355097795, 950, 0, 51, 1013, 494, 141, 99, 19, 0, 1874
2355098810, 952, 0, 47, 1011, 491, 141, 99, 19, 0, 1858
2355099821, 952, 0, 49, 1015, 494, 141, 99, 19, 0, 1878
2355100836, 951, 0, 44, 1016, 494, 141, 100, 19, 0, 1896
2355101852, 951, 0, 49, 1010, 501, 141, 101, 19, 0, 1910
2355102862, 950, 0, 56, 1013, 498, 141, 102, 19, 0, 1923
2355103876, 950, 0, 51, 1010, 507, 141, 102, 19, 0, 1934
2355104886, 950, 0, 50, 1009, 492, 141, 101, 19, 0, 1908
2355105896, 950, 0, 52, 1012, 500, 141, 103, 19, 0, 1923
2355106909, 951, 0, 50, 1010, 492, 141, 103, 19, 0, 1942
2355107919, 950, 0, 52, 1010, 495, 141, 103, 19, 0, 1947
2355108929, 950, 0, 41, 1019, 501, 141, 106, 19, 0, 1994
2355109948, 950, 0, 55, 1015, 516, 141, 109, 19, 0, 2048
2355110964, 950, 0, 55, 1012, 525, 141, 109, 19, 0, 2017
2355111976, 950, 0, 45, 1016, 484, 137, 102, 19, 0, 1923
2355112993, 951, 0, 43, 1014, 496, 137, 104, 19, 0, 1952
2355114007, 950, 0, 53, 1016, 502, 137, 106, 19, 0, 1988
2355115025, 950, 0, 44, 1017, 498, 137, 106, 19, 0, 2002
2355116042, 951, 0, 48, 1016, 502, 137, 107, 19, 0, 2015
2355117058, 950, 0, 58, 1017, 508, 137, 108, 19, 0, 2038
2355118075, 951, 0, 42, 1019, 520, 137, 107, 19, 0, 2021
2355119094, 954, 0, 41, 1017, 499, 137, 107, 19, 0, 2008
2355120111, 951, 0, 41, 1012, 502, 137, 108, 19, 0, 2036
2355121124, 950, 0, 48, 1012, 498, 137, 108, 19, 0, 1984
2355122136, 952, 0, 47, 1016, 468, 134, 101, 19, 0, 1903
2355123152, 952, 0, 47, 1014, 484, 134, 103, 19, 0, 1945
2355124166, 951, 0, 45, 1018, 498, 134, 103, 19, 0, 1957
2355125184, 950, 0, 49, 1013, 495, 134, 108, 19, 0, 2017
2355126197, 950, 0, 57, 1016, 512, 134, 111, 19, 0, 2082
2355127213, 950, 0, 50, 1016, 514, 134, 111, 19, 0, 2108
2355128229, 951, 0, 60, 1023, 521, 134, 111, 19, 0, 2108
2355129252, 950, 0, 48, 1011, 516, 134, 112, 19, 0, 2119
2355130265, 951, 0, 53, 1013, 528, 134, 113, 19, 0, 2141
2355131279, 950, 0, 51, 1014, 499, 134, 114, 19, 0, 2025
2355132293, 952, 0, 52, 1019, 477, 130, 103, 19, 0, 1933
2355133312, 950, 0, 51, 1010, 466, 130, 103, 19, 0, 1929
2355134322, 950, 0, 52, 1015, 466, 130, 102, 19, 0, 1917
2355135337, 951, 0, 54, 1014, 481, 130, 102, 19, 0, 1915
2355136352, 952, 0, 40, 1028, 477, 130, 99, 19, 0, 1875
2355137380, 953, 0, 39, 1018, 471, 130, 102, 19, 0, 1893
2355138398, 950, 0, 56, 1027, 480, 130, 102, 19, 0, 1938
2355139425, 951, 0, 49, 1016, 480, 130, 102, 19, 0, 1938
2355140441, 950, 0, 51, 1014, 485, 130, 103, 19, 0, 1938
2355141455, 951, 0, 55, 1017, 469, 130, 104, 19, 0, 1921
2355142472, 951, 0, 49, 1018, 481, 129, 102, 19, 0, 1910
2355143490, 950, 0, 55, 1018, 488, 129, 101, 19, 0, 1918
2355144508, 951, 0, 48, 1013, 482, 129, 103, 19, 0, 1928
2355145521, 950, 0, 49, 1007, 480, 129, 104, 19, 0, 1959
2355146528, 951, 0, 46, 1009, 486, 129, 104, 19, 0, 1953
2355147538, 950, 0, 51, 1014, 494, 129, 108, 19, 0, 1983
2355148553, 951, 0, 54, 1015, 521, 129, 110, 19, 0, 2076
