Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2354704048, 1003, 0, 0, 1025, 0, 9, 0, 20, 0, 0
2354705074, 1000, 0, 5, 1027, 11, 9, 33, 20, 0, 113
2354706101, 901, 0, 40, 1028, 285, 9, 81, 18, 0, 1101
2354707129, 950, 0, 71, 1041, 436, 9, 85, 19, 0, 1613
2354708171, 950, 0, 64, 1039, 439, 9, 85, 19, 0, 1615
2354709210, 952, 0, 58, 1040, 445, 9, 87, 19, 0, 1635
2354710250, 901, 0, 61, 1002, 440, 9, 88, 18, 0, 1582
2354711252, 952, 0, 68, 1041, 458, 9, 88, 19, 0, 1671
2354712293, 952, 0, 66, 1033, 455, 9, 88, 19, 0, 1672
2354713327, 950, 0, 69, 1045, 464, 10, 100, 19, 0, 1739
2354714372, 950, 0, 76, 1043, 515, 10, 101, 19, 0, 1902
2354715416, 950, 0, 78, 1047, 528, 10, 101, 19, 0, 1916
2354716463, 950, 0, 86, 1053, 525, 10, 100, 19, 0, 1900
2354717516, 951, 0, 74, 1050, 514, 10, 100, 19, 0, 1892
2354718566, 951, 0, 77, 1047, 514, 10, 99, 19, 0, 1881
2354719613, 952, 0, 79, 1048, 526, 10, 100, 19, 0, 1887
2354720662, 951, 0, 72, 1045, 522, 10, 101, 19, 0, 1905
2354721708, 950, 0, 79, 1042, 510, 10, 101, 19, 0, 1919
2354722750, 901, 0, 76, 1003, 500, 10, 101, 18, 0, 1818
2354723753, 950, 0, 82, 1057, 524, 10, 102, 19, 0, 1919
2354724810, 952, 0, 85, 1048, 534, 10, 102, 19, 0, 1931
2354725858, 951, 0, 74, 1041, 513, 10, 101, 19, 0, 1919
2354726899, 952, 0, 74, 1040, 520, 10, 101, 19, 0, 1919
2354727940, 952, 0, 76, 1039, 510, 10, 101, 19, 0, 1919
2354728979, 950, 0, 72, 1037, 513, 10, 101, 19, 0, 1911
2354730016, 950, 0, 72, 1039, 506, 10, 101, 19, 0, 1917
2354731055, 950, 0, 75, 1042, 516, 10, 102, 19, 0, 1918
2354732097, 951, 0, 77, 1040, 515, 10, 102, 19, 0, 1928
2354733137, 950, 0, 73, 1034, 494, 10, 101, 19, 0, 1898
2354734171, 950, 0, 71, 1041, 492, 10, 99, 19, 0, 1867
2354735212, 950, 0, 75, 1038, 495, 10, 99, 19, 0, 1864
2354736250, 951, 0, 73, 1039, 505, 10, 98, 19, 0, 1862
2354737289, 951, 0, 77, 1042, 490, 10, 99, 19, 0, 1877
2354738331, 951, 0, 71, 1037, 480, 10, 98, 19, 0, 1861
2354739368, 950, 0, 73, 1038, 479, 10, 99, 19, 0, 1863
2354740406, 900, 0, 81, 1001, 454, 10, 99, 18, 0, 1776
2354741407, 951, 0, 87, 1054, 489, 10, 100, 19, 0, 1890
2354742461, 951, 0, 81, 1047, 495, 10, 101, 19, 0, 1903
2354743508, 952, 0, 77, 1052, 468, 10, 99, 19, 0, 1860
2354744560, 900, 0, 80, 1009, 452, 10, 96, 18, 0, 1724
2354745569, 900, 0, 72, 1003, 451, 10, 98, 18, 0, 1750
2354746572, 900, 0, 87, 1001, 448, 10, 101, 18, 0, 1793
2354747573, 901, 0, 74, 1007, 480, 10, 101, 18, 0, 1804
2354748580, 950, 0, 77, 1054, 486, 10, 100, 19, 0, 1897
2354749634, 951, 0, 76, 1051, 483, 10, 100, 19, 0, 1893
2354750685, 950, 0, 83, 1047, 484, 10, 101, 19, 0, 1884
2354751732, 951, 0, 80, 1043, 474, 10, 103, 19, 0, 1935
2354752775, 952, 0, 80, 1048, 473, 10, 102, 19, 0, 1926
2354753823, 901, 0, 82, 1004, 460, 10, 102, 18, 0, 1827
2354754827, 952, 0, 82, 1052, 487, 10, 102, 19, 0, 1938
2354755879, 950, 0, 74, 1046, 494, 10, 102, 19, 0, 1938
2354756925, 900, 0, 84, 1002, 473, 10, 103, 18, 0, 1848
2354757927, 950, 0, 77, 1041, 478, 10, 103, 19, 0, 1937
2354758968, 951, 0, 73, 1043, 480, 10, 101, 19, 0, 1917
2354760011, 950, 0, 79, 1048, 478, 10, 101, 19, 0, 1909
2354761059, 951, 0, 78, 1048, 488, 10, 101, 19, 0, 1906
2354762107, 950, 0, 71, 1045, 484, 10, 101, 19, 0, 1910
2354763152, 951, 0, 68, 1050, 469, 10, 100, 19, 0, 1885
2354764202, 950, 0, 77, 1050, 480, 10, 101, 19, 0, 1902
2354765253, 950, 0, 81, 1047, 485, 10, 102, 19, 0, 1930
2354766301, 952, 0, 71, 1040, 486, 10, 103, 19, 0, 1955
2354767341, 950, 0, 78, 1046, 490, 10, 103, 19, 0, 1957
2354768387, 952, 0, 74, 1040, 485, 10, 104, 19, 0, 1960
2354769427, 951, 0, 80, 1039, 496, 10, 104, 19, 0, 1976
2354770466, 950, 0, 79, 1038, 489, 10, 107, 19, 0, 2000
2354771504, 950, 0, 74, 1034, 495, 10, 106, 19, 0, 2014
2354772538, 951, 0, 77, 1039, 487, 10, 106, 19, 0, 2004
2354773577, 951, 0, 74, 1041, 513, 10, 108, 19, 0, 2026
2354774618, 950, 0, 77, 1039, 506, 9, 104, 19, 0, 1960
2354775659, 950, 1, 73, 1043, 502, 9, 103, 19, 0, 1957
2354776702, 950, 0, 75, 1034, 506, 9, 108, 19, 0, 2019
2354777736, 950, 0, 77, 1045, 517, 9, 108, 19, 0, 2020
2354778781, 951, 0, 84, 1041, 521, 9, 106, 19, 0, 2014
2354779822, 950, 0, 77, 1038, 499, 9, 106, 19, 0, 1999
2354780860, 950, 0, 83, 1043, 510, 9, 105, 19, 0, 1987
2354781903, 950, 0, 71, 1040, 514, 9, 105, 19, 0, 1979
