Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2354122007, 1001, 0, 5, 1030, 0, 9, 40, 20, 0, 98
2354123037, 903, 0, 42, 1044, 347, 9, 97, 18, 0, 1310
2354124082, 950, 0, 76, 1039, 542, 9, 107, 19, 0, 2008
2354125121, 900, 0, 79, 1006, 521, 9, 106, 18, 0, 1890
2354126127, 950, 0, 88, 1055, 551, 9, 106, 19, 0, 1998
2354127182, 951, 0, 85, 1050, 545, 9, 106, 19, 0, 2014
2354128232, 950, 0, 85, 1049, 555, 9, 107, 19, 0, 2016
2354129281, 901, 0, 83, 1006, 514, 9, 105, 18, 0, 1890
2354130287, 901, 0, 81, 1000, 521, 9, 105, 18, 0, 1889
2354131288, 950, 0, 82, 1048, 543, 9, 105, 19, 0, 1983
2354132336, 900, 0, 78, 1001, 515, 9, 105, 18, 0, 1890
2354133337, 951, 0, 78, 1047, 535, 9, 104, 19, 0, 1976
2354134384, 953, 0, 83, 1046, 529, 9, 104, 19, 0, 1976
2354135430, 950, 0, 79, 1053, 553, 9, 105, 19, 0, 1988
2354136483, 950, 0, 77, 1048, 538, 9, 104, 19, 0, 1976
2354137531, 950, 0, 80, 1052, 532, 9, 104, 19, 0, 1964
2354138583, 950, 0, 77, 1049, 520, 9, 103, 19, 0, 1946
2354139632, 950, 0, 79, 1046, 544, 9, 105, 19, 0, 1989
2354140679, 950, 0, 82, 1054, 541, 9, 105, 19, 0, 1995
2354141733, 951, 0, 87, 1053, 533, 9, 105, 19, 0, 1992
2354142787, 950, 0, 78, 1045, 533, 9, 106, 19, 0, 1999
2354143832, 950, 0, 85, 1054, 546, 9, 105, 19, 0, 1995
2354144886, 952, 0, 85, 1044, 537, 9, 105, 19, 0, 1987
2354145930, 950, 0, 76, 1043, 524, 9, 104, 19, 0, 1959
2354146973, 950, 0, 76, 1044, 516, 9, 103, 19, 0, 1957
2354148017, 952, 0, 81, 1045, 521, 9, 103, 19, 0, 1947
2354149062, 951, 0, 80, 1053, 526, 9, 101, 19, 0, 1919
