new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
22,21,0,0,0,0,2,3,3,16,0,0
1219,1210,0,0,0,0,2,19,1057,155,8,9
1226,1226,3,1,2,2,2,40,2025,398,29,0
1467,1477,0,0,0,0,2,61,3296,577,50,0
1500,1492,2,1,1,2,2,79,4621,731,68,0
1575,1581,0,0,0,0,2,101,6015,893,89,0
1125,1124,1,1,1,2,2,125,6863,1150,113,0
1494,1485,1,1,0,1,2,152,8118,1350,140,11
1314,1323,0,0,3,4,2,178,9152,1620,165,0
1530,1537,0,0,0,0,2,199,10495,1785,186,0
1739,1735,0,1,1,1,2,214,12096,1908,201,0
1540,1537,2,1,1,1,2,235,13397,2126,222,0
1480,1487,0,0,0,0,2,256,14681,2304,243,0
1272,1269,1,0,0,0,2,285,15704,2523,272,0
1383,1376,0,0,4,5,2,306,16828,2762,293,0
1426,1429,1,1,1,2,2,334,17995,2991,321,0
1584,1588,0,0,0,1,2,347,19436,3124,334,0
1535,1530,1,2,2,2,2,370,20713,3356,357,0
1373,1372,0,0,9,0,2,396,21827,3593,383,0
1284,1285,3,1,1,2,2,433,22769,3894,420,0
1576,1577,1,1,2,2,2,451,24151,4072,438,0
1564,1563,2,1,2,2,2,476,25444,4317,462,0
1603,1612,0,0,0,0,2,492,26897,4454,478,0
1578,1571,2,1,1,1,2,508,28312,4598,494,0
1752,1749,0,0,0,0,2,526,29871,4766,512,9
1304,1309,0,0,3,0,2,562,30868,5046,548,0
1326,1329,0,0,0,1,2,581,32016,5206,567,0
1369,1368,0,0,0,1,2,608,33140,5423,594,0
1596,1599,0,0,0,0,2,626,34492,5650,612,0
1531,1524,1,1,1,2,2,648,35791,5858,633,0
1499,1496,0,0,4,5,2,666,37129,6003,651,0
1292,1292,0,0,4,5,2,696,38167,6227,680,0
1352,1358,0,1,1,0,2,725,39232,6484,709,0
1379,1377,3,0,1,1,2,749,40311,6759,733,0
1473,1480,0,0,0,0,2,768,41626,6901,752,0
1575,1574,0,0,0,0,2,781,43059,7029,765,0
1566,1557,3,1,2,2,2,806,44355,7271,790,0
1324,1325,0,0,4,4,2,828,45480,7452,812,0
1346,1351,0,0,0,1,2,856,46566,7683,840,0
1491,1484,0,0,5,4,2,870,47904,7823,854,0
1693,1703,0,0,0,0,2,897,49344,8049,881,0
2007,2004,1,0,0,1,2,906,51270,8121,890,0
1377,1372,3,1,1,2,2,926,52426,8319,910,0
1556,1555,0,0,5,4,2,943,53826,8462,927,0
1447,1440,4,4,4,3,2,976,54900,8794,960,0
1612,1612,0,0,12,4,2,989,56356,8945,973,0
1659,1675,0,0,0,0,2,1018,57656,9274,1002,0
1375,1375,0,0,0,0,2,1020,59005,9298,1004,0
885,885,0,0,0,0,2,1031,59755,9423,1015,0
1848,1839,0,0,7,2,2,1046,61398,9613,1030,0
1449,1449,2,2,2,2,2,1080,62490,9932,1064,0
1707,1711,0,1,1,2,2,1094,64065,10053,1078,0
1360,1365,0,0,0,0,2,1121,65167,10286,1105,0
1639,1633,1,1,2,2,2,1135,66672,10404,1119,0
1302,1309,0,0,0,0,2,1160,67769,10586,1144,0
1487,1483,0,0,1,2,2,1178,69070,10754,1162,0
1242,1244,0,0,0,0,2,1211,69998,11035,1195,0
1477,1470,0,0,9,0,2,1228,71330,11164,1212,0
1175,1185,0,0,0,0,2,1252,72294,11351,1235,0
1656,1645,2,2,2,3,2,1270,73723,11556,1253,0
1556,1562,1,1,1,1,2,1286,75083,11739,1269,0
1534,1529,0,0,7,2,2,1303,76444,11897,1286,0
1089,1084,0,0,0,0,2,1328,77257,12133,1311,14
1366,1371,0,0,4,5,2,1352,78385,12362,1335,0
1334,1339,0,1,1,1,2,1377,79484,12571,1360,0
1161,1166,0,0,0,0,2,1396,80461,12737,1379,0
0,0,0,0,0,0,2,1396,80461,12737,1379,0
0,0,0,0,0,0,2,1396,80461,12737,1379,0
0,0,0,0,0,0,2,1396,80461,12737,1379,0
0,0,0,0,0,0,2,1396,80461,12737,1379,0
0,0,0,0,0,0,2,1396,80461,12737,1379,0
0,0,0,0,0,0,2,1396,80461,12737,1379,0
0,0,0,0,0,0,2,1396,80461,12737,1379,0
