Total,Process,Execute,WaitList,Reply
355,1,0,334,10
355,1,0,334,3
356,1,0,334,2
357,1,0,334,1
358,1,0,334,2
359,1,0,334,2
359,1,0,334,3
360,1,0,334,2
361,1,0,334,5
362,1,334,0,2
40,0,0,7,11
38,0,0,6,6
40,0,0,7,5
44,1,0,9,5
44,0,0,9,2
42,0,0,6,3
49,1,0,10,5
53,0,0,10,8
53,0,11,0,7
50,0,0,7,8
20,0,0,9,2
21,0,0,9,3
20,0,0,7,3
17,0,0,4,2
22,0,0,9,2
25,0,9,0,2
21,0,0,5,3
25,0,0,8,3
25,1,0,7,3
27,0,0,8,3
25,0,0,5,2
29,0,0,9,3
28,0,0,8,3
31,0,0,7,3
33,0,9,0,3
32,0,1,9,4
28,0,0,5,3
9,0,0,2,1
9,0,0,2,1
13,1,0,2,1
10,1,0,1,1
16,0,0,6,1
15,0,0,3,1
19,0,0,6,1
20,0,0,6,2
17,0,0,2,3
22,0,6,0,2
6,1,0,0,3
10,0,0,6,1
10,0,0,6,1
9,0,0,5,1
10,0,0,6,1
9,0,0,4,1
11,0,0,6,1
10,0,0,5,1
11,0,6,0,1
10,0,0,5,2
5,0,0,0,3
12,0,0,5,1
13,0,0,5,1
15,0,0,5,0
15,0,0,5,0
14,0,0,5,1
15,0,0,5,1
16,0,0,5,2
16,0,0,5,1
16,0,0,5,1
18,0,5,0,1
12,0,0,6,2
11,0,0,6,0
11,0,0,5,1
12,0,0,5,1
11,0,0,4,0
14,1,0,6,1
15,1,0,6,1
15,1,0,6,1
15,1,0,5,1
16,1,6,0,0
11,0,0,7,1
12,0,0,7,1
13,0,0,7,1
14,0,0,7,1
14,0,0,7,0
15,0,0,7,1
15,0,7,0,1
29,26,0,0,2
29,26,0,0,2
4,0,0,0,2
3,0,0,0,3
3,0,0,0,2
4,0,0,0,2
4,0,0,0,3
5,0,0,0,2
5,0,0,0,2
9,0,0,5,1
10,1,0,5,2
40,30,0,6,2
9,0,0,5,2
11,0,0,5,3
9,1,0,5,2
13,1,6,0,2
5,0,0,0,2
6,0,0,0,2
7,0,0,0,1
7,0,0,0,5
3,0,0,0,2
4,1,0,0,2
4,0,0,0,2
5,0,0,0,2
5,2,0,0,2
5,0,0,0,2
12,0,0,7,2
24,0,0,7,2
11,0,0,0,10
12,1,0,0,10
12,0,0,0,2
13,0,0,0,11
13,0,0,0,1
13,0,0,0,2
14,0,1,0,2
5,0,0,0,2
3,0,0,0,1
2,0,0,0,1
29,0,7,0,17
2,0,0,0,1
4,1,0,0,2
3,0,0,0,1
4,0,0,0,2
2,0,0,0,0
3,0,0,0,2
3,0,0,0,1
3,0,0,0,2
3,0,0,0,1
3,1,0,0,1
4,0,0,0,2
2,0,0,0,1
2,0,0,0,1
3,0,0,0,2
2,0,0,0,2
23,1,12,0,1
9,0,0,0,7
3,0,0,0,2
2,0,0,0,2
2,0,0,0,2
4,0,0,0,3
3,0,0,0,2
3,1,0,0,1
3,0,0,0,2
3,0,0,0,2
3,0,0,0,1
4,0,0,0,3
4,0,0,0,2
2,0,0,0,1
2,0,0,0,1
4,0,0,0,3
2,0,0,0,1
6,0,0,0,5
2,0,0,0,2
3,0,0,0,3
3,0,0,0,3
1,0,0,0,0
7,0,0,0,5
1,0,0,0,0
1,0,0,0,1
11,11,0,0,0
12,11,0,0,1
1,0,0,0,1
2,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,1,0,0
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,0
3,0,0,0,2
1,0,0,0,1
3,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
6,0,0,0,6
2,1,0,0,1
4,0,0,0,3
4,0,0,0,2
3,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
3,0,0,0,3
1,0,0,0,1
2,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,2
6,0,0,0,5
4,0,0,0,3
1,0,0,0,1
3,1,0,0,2
2,0,0,0,2
3,0,0,0,1
2,0,0,0,2
1,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
3,0,0,0,3
14,0,0,0,14
1,0,0,0,1
3,2,0,0,0
1,0,0,0,0
3,0,1,0,0
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
3,0,0,0,2
2,0,0,0,2
5,0,1,0,4
3,0,0,0,2
2,0,0,0,1
3,0,0,0,2
6,4,0,0,1
7,4,0,0,2
7,5,0,0,1
2,0,0,0,2
2,0,0,0,2
3,0,0,0,1
3,0,0,0,2
3,0,0,0,1
3,0,0,0,1
3,0,0,0,2
4,0,0,0,2
1,0,0,0,1
2,0,0,0,1
4,1,0,0,2
2,0,0,0,1
3,0,0,0,2
8,0,0,4,1
8,0,0,4,1
8,0,0,4,0
9,0,0,4,1
9,0,0,4,0
16,3,0,5,1
11,0,0,4,0
12,0,0,4,1
17,3,0,5,0
13,1,0,4,1
17,3,5,0,0
2,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
4,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
3,0,0,0,2
3,0,0,0,3
3,0,0,0,1
2,0,0,0,1
3,0,0,0,2
1,0,0,0,1
2,0,0,0,1
5,0,0,0,5
1,0,0,0,1
2,0,0,0,1
3,0,0,0,-1449782424583
2,0,0,0,2
3,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,1
2,1,0,0,1
3,1,0,0,1
2,0,0,0,2
5,0,0,0,3
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
4,0,0,0,3
2,0,0,0,2
1,0,0,0,1
18,15,0,0,1
3,0,0,0,2
3,0,0,0,2
2,0,0,0,1
3,0,0,0,1
3,0,0,0,2
3,0,0,0,1
3,0,0,0,2
2,0,0,0,1
3,0,0,0,2
3,0,0,0,1
6,5,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,2
1,0,0,0,1
3,0,0,0,2
5,2,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,1
4,0,0,0,3
3,0,0,0,2
3,0,0,0,2
9,0,0,4,1
12,0,0,6,1
12,0,0,6,1
13,0,0,6,1
13,0,0,6,1
13,0,0,5,0
14,0,0,6,1
20,0,0,6,1
19,0,0,5,1
19,0,0,4,6
2,1,0,0,0
1,0,0,0,1
23,0,7,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
3,0,0,0,1
3,0,0,0,1
2,0,0,0,1
1,0,0,0,0
0,0,0,0,0
1,0,0,0,1
3,0,0,0,2
2,0,0,0,2
1,0,0,0,1
5,1,0,0,4
1,0,0,0,1
3,0,0,0,2
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
4,3,0,0,1
4,3,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
5,4,0,0,1
6,3,0,0,3
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,1,0,0,0
1,0,0,0,1
3,0,0,0,2
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
3,0,0,0,3
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
3,0,0,0,2
2,0,0,0,1
4,0,0,0,4
2,0,0,0,2
4,0,0,0,3
2,0,0,0,1
2,0,0,0,2
5,0,0,0,4
1,0,0,0,1
5,1,0,0,4
1,0,0,0,1
2,1,0,0,1
5,4,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,1,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,3
3,0,0,0,2
3,1,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,1,0,0,1
5,0,0,0,5
3,0,0,0,3
4,0,0,0,3
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
4,0,0,0,2
4,0,0,0,2
4,0,0,0,2
4,0,0,0,2
4,0,0,0,2
4,0,0,0,4
2,0,0,0,2
3,0,0,0,1
3,0,0,0,1
1,0,0,0,1
3,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
11,10,0,0,1
2,0,0,0,1
3,1,0,0,2
2,1,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
6,0,0,0,5
2,0,0,0,2
3,0,0,0,2
3,0,0,0,1
3,0,0,0,2
4,0,0,0,3
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
3,0,0,0,3
2,0,0,0,2
2,0,0,0,2
9,8,0,0,1
8,7,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
3,0,0,0,3
4,1,0,0,2
3,1,0,0,2
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
4,3,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,1
3,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,2
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
2,0,2,0,1
4,0,0,0,4
2,0,0,0,2
3,0,0,0,1
4,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
4,0,0,0,3
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
3,0,0,0,1
3,0,0,0,2
3,0,0,0,1
3,0,0,0,1
3,0,0,0,2
5,0,0,0,2
5,0,0,0,1
3,0,0,0,2
2,0,0,0,2
2,0,0,0,1
3,0,0,0,2
4,0,0,0,3
3,0,0,0,2
3,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
4,0,0,0,2
1,0,0,0,1
3,0,0,0,1
1,0,0,0,1
2,0,0,0,1
5,4,0,0,1
1,0,0,0,1
1,0,0,0,1
6,0,0,0,1
6,0,0,0,5
7,0,0,0,5
7,0,0,0,6
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
3,0,0,0,2
1,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,2
10,0,0,0,10
2,0,0,0,2
2,0,0,0,2
2,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
13,12,0,0,1
13,12,0,0,1
0,0,0,0,0
1,0,0,0,1
14,13,0,0,1
1,0,0,0,1
13,0,0,8,1
12,0,0,7,1
13,0,0,7,1
15,0,0,9,0
14,0,0,8,1
14,0,0,8,1
15,0,0,8,1
15,0,0,8,1
16,0,9,0,1
0,0,0,0,0
2,0,0,0,1
3,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
2,0,0,0,1
2,0,0,0,2
4,0,0,0,2
24,0,0,8,10
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
9,0,0,5,1
8,0,0,4,0
8,0,0,4,1
10,1,0,4,1
10,1,0,4,0
10,0,0,5,1
9,0,0,4,0
9,0,0,4,0
11,0,0,5,0
11,0,5,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,3,0,0,1
1,0,0,0,1
1,0,0,0,1
5,4,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
3,0,0,0,2
3,0,0,0,2
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,0
2,0,0,0,1
3,0,0,0,3
1,0,1,0,0
2,0,0,0,0
1,0,0,0,1
1,0,0,0,1
5,0,0,0,4
6,0,0,0,5
1,0,0,0,1
2,0,0,0,1
3,0,0,0,3
3,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,3
3,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,0
2,0,0,0,1
3,0,0,0,1
2,0,0,0,1
3,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,0
13,10,0,0,2
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
3,0,0,0,2
3,0,0,0,1
3,0,0,0,3
3,0,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
3,0,0,0,3
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
3,0,0,0,3
3,0,0,0,2
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
4,0,0,0,1
3,0,0,0,2
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,2
3,0,0,0,2
4,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,1,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
3,0,0,0,2
1,0,0,0,1
0,0,0,0,0
2,0,0,0,2
4,0,0,0,3
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
2,0,0,0,2
0,0,0,0,0
1,0,0,0,1
2,2,0,0,0
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,0
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
6,0,0,0,6
1,0,0,0,1
1,0,0,0,0
6,5,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,2
2,0,0,0,2
3,0,0,0,2
2,0,0,0,1
