Total,Process,Execute,WaitList,Reply
389,0,0,354,16
390,0,0,354,7
391,0,0,354,5
392,1,0,354,3
394,1,0,354,1
394,0,0,354,2
397,1,0,354,1
396,1,0,354,1
398,0,0,354,4
399,1,354,0,3
38,0,0,23,3
43,0,0,27,2
43,0,0,27,3
40,0,0,24,2
44,0,0,27,2
45,0,0,27,2
46,0,0,27,2
44,0,0,26,3
47,0,27,0,2
45,0,0,26,2
13,0,0,6,2
13,0,0,6,2
13,0,0,6,3
14,0,0,5,2
15,0,7,0,1
12,0,0,5,1
12,1,0,4,1
13,1,0,4,1
14,0,0,5,1
14,0,6,0,1
14,0,0,6,3
16,1,0,6,1
15,0,0,6,1
17,0,0,7,1
17,0,0,6,1
19,0,0,6,1
19,0,0,7,3
18,0,0,6,3
20,0,7,0,2
21,0,0,6,4
7,0,0,4,1
8,0,0,4,0
8,0,0,4,1
6,0,0,1,1
5,0,0,1,0
8,0,0,2,0
10,0,4,0,1
11,0,0,4,2
11,0,0,4,1
12,0,0,4,1
12,0,0,4,1
14,0,0,4,1
14,0,0,4,1
14,0,0,4,1
15,0,0,4,1
15,0,0,4,0
28,11,5,0,1
12,1,0,5,1
11,0,0,5,1
10,0,0,4,1
12,1,0,5,1
12,0,0,5,1
14,0,0,5,0
14,0,0,6,1
13,0,0,5,2
14,0,6,0,1
14,0,0,6,1
3,0,0,0,1
3,0,0,0,1
11,0,0,5,1
13,1,0,5,1
13,0,0,5,1
34,21,0,6,1
14,1,0,5,1
13,0,0,5,1
14,0,0,5,1
14,0,0,5,1
14,0,0,5,2
2,0,0,0,1
15,0,0,5,3
4,1,0,0,2
3,0,0,0,1
37,21,6,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,2
2,0,0,0,1
2,0,1,0,1
3,0,1,0,1
3,0,0,0,1
3,0,0,0,2
3,0,0,0,1
3,0,0,0,1
3,0,0,0,2
4,0,0,0,1
2,0,0,0,2
3,0,0,0,2
3,0,1,0,2
3,0,0,0,0
3,0,0,0,0
5,0,0,0,2
4,0,0,0,2
4,0,1,0,3
